Species,dn,ds,Mass (kg),Clade,dn/ds
Myotis lucifugus,0.0214,0.6642,0.008,Laurasiatheria,0.0322192111
Sorex araneus,0.0093,0.8816,0.0095,Laurasiatheria,0.0105490018
Peromyscus maniculatus bairdii,0.0032,0.3713,0.017,Euarchontoglires,0.0086183679
Cricetulus griseus,0.002,0.3776,0.0224,Euarchontoglires,0.0052966102
Desmodus rotundus,0.0119,0.6771,0.033,Laurasiatheria,0.017574952
Chrysochloris asiatica,0.0173,0.6546,0.042,zAfrotheria,0.0264283532
Monodelphis domestica,0.0222,1.1369,0.048,Metatheria,0.0195267834
Microtus ochrogaster,0.0034,0.3654,0.05,Euarchontoglires,0.0093048714
Microcebus murinus,0.0115,0.6123,0.06,Euarchontoglires,0.018781643
Elephantulus edwardii,0.0124,0.6911,0.0695,zAfrotheria,0.0179424106
Dipodomys ordii,0.0051,0.7029,0.0755,Euarchontoglires,0.0072556551
Otolemur garnettii,0.0104,0.6345,0.1025,Euarchontoglires,0.0163908589
Carlito syrichta,0.0066,0.651,0.1315,Euarchontoglires,0.0101382488
Fukomys damarensis,0.003,0.6576,0.144,Euarchontoglires,0.0045620438
Tupaia chinensis,0.0073,0.614,0.16,Euarchontoglires,0.0118892508
Octodon degus,0.006,0.7482,0.235,Euarchontoglires,0.0080192462
Rattus norvegicus,0.0026,0.2112,0.325,Euarchontoglires,0.0123106061
Callithrix jacchus,0.0267,1.0055,0.33,Euarchontoglires,0.0265539533
Jaculus jaculus,0.0034,0.5959,0.6,Euarchontoglires,0.0057056553
Pteropus alecto,0.0126,0.8004,0.74,Laurasiatheria,0.0157421289
Aotus nancymaae,0.0107,0.6297,0.75,Euarchontoglires,0.0169922185
Saimiri boliviensis boliviensis,0.011,0.6521,0.75,Euarchontoglires,0.0168685784
Urocitellus parryii,0.0069,0.698,0.791,Euarchontoglires,0.0098853868
Cavia porcellus,0.0072,0.7186,0.9,Euarchontoglires,0.0100194823
Galeopterus variegatus,0.0134,0.6664,1.45,Euarchontoglires,0.0201080432
Oryctolagus cuniculus,0.0058,0.7184,2,Euarchontoglires,0.0080734967
Marmota marmota marmota,0.0075,0.7159,3.5,Euarchontoglires,0.0104763235
Cebus capucinus imitator,0.011,0.643,3.9,Euarchontoglires,0.0171073095
Felis catus,0.0411,0.9546,4.75,Laurasiatheria,0.0430546826
Manis javanica,0.0106,0.6849,4.9,Laurasiatheria,0.0154767119
Chlorocebus sabaeus,0.0119,0.6486,5,Euarchontoglires,0.0183472094
Nomascus leucogenys,0.0125,0.677,5.7,Euarchontoglires,0.0184638109
Macaca fascicularis,0.0101,0.6882,6.55,Euarchontoglires,0.0146759663
Macaca nemestrina,0.0095,0.6879,6.55,Euarchontoglires,0.0138101468
Macaca mulatta,0.0101,0.6867,8,Euarchontoglires,0.0147080239
Piliocolobus tephrosceles,0.0116,0.6973,8.8,Euarchontoglires,0.0166355944
Colobus angolensis palliatus,0.0125,0.6835,8.9,Euarchontoglires,0.0182882224
Cercocebus atys,0.0107,0.6699,9.5,Euarchontoglires,0.0159725332
Rhinopithecus bieti,0.0338,0.7131,10,Euarchontoglires,0.0473986818
Vulpes vulpes,0.0049,0.6982,14,Laurasiatheria,0.0070180464
Theropithecus gelada,0.0107,0.6823,16,Euarchontoglires,0.0156822512
Rhinopithecus roxellana,0.0119,0.6902,16.4,Euarchontoglires,0.0172413793
Mandrillus leucophaeus,0.0113,0.6738,18.25,Euarchontoglires,0.0167705551
Castor canadensis,0.0087,0.6061,22.5,Euarchontoglires,0.014354067
Pantholops hodgsonii,0.0117,0.7166,33,Laurasiatheria,0.0163271002
Canis lupus familiaris,0.0067,0.6516,35.5,Laurasiatheria,0.0102823818
Panthera pardus,0.0081,0.7075,41,Laurasiatheria,0.0114487633
Pan paniscus,0.0134,0.6757,44,Euarchontoglires,0.0198312861
Capra hircus,0.0124,0.7259,45,Laurasiatheria,0.0170822427
Odocoileus virginianus texanus,0.0105,0.6952,47.6,Laurasiatheria,0.0151035673
Pan troglodytes,0.0131,0.6708,48,Euarchontoglires,0.0195289207
Pongo abelii,0.0131,0.6573,60,Euarchontoglires,0.0199300167
Orycteropus afer afer,0.0187,0.6539,61,zAfrotheria,0.0285976449
Homo sapiens,0.0125,0.6808,68,Euarchontoglires,0.0183607521
Ailuropoda melanoleuca,0.0131,0.6163,102.5,Laurasiatheria,0.0212558819
Lipotes vexillifer,0.0203,0.6665,104.5,Laurasiatheria,0.0304576144
Ovis aries,0.0117,0.7513,110,Laurasiatheria,0.0155730068
Gorilla gorilla gorilla,0.0131,0.664,140,Euarchontoglires,0.0197289157
Sus scrofa,0.0129,0.6851,169,Laurasiatheria,0.018829368
Panthera tigris altaica,0.0367,0.7677,176.4,Laurasiatheria,0.0478051322
Neomonachus schauinslandi,0.018,0.6876,220,Laurasiatheria,0.0261780105
Equus asinus,0.0103,0.6212,250,Laurasiatheria,0.0165808113
Tursiops truncatus,0.0168,0.7336,400,Laurasiatheria,0.0229007634
Ursus maritimus,0.0114,0.6069,475,Laurasiatheria,0.0187839842
Equus caballus,0.0103,0.6248,563.5,Laurasiatheria,0.0164852753
Bison bison bison,0.0117,0.7625,600,Laurasiatheria,0.0153442623
Bubalus bubalis,0.0112,0.7413,725,Laurasiatheria,0.015108593
Bos taurus,0.013,0.7389,755,Euarchontoglires,0.0175937204
Odobenus rosmarus divergens,0.0085,0.6228,1050,Laurasiatheria,0.0136480411
Ceratotherium simum simum,0.0119,0.6475,2520,Laurasiatheria,0.0183783784
Loxodonta africana,0.0361,0.875,4800,zAfrotheria,0.0412571429
Orcinus orca,0.018,0.7113,7200,Laurasiatheria,0.0253057782
Balaenoptera acutorostrata scammoni,0.0219,0.7265,9200,Laurasiatheria,0.0301445286
Physeter catodon,0.0532,0.7474,42500,Laurasiatheria,0.071180091
