Species,dn,ds,Mass (kg),Clade,dn/ds
Sorex araneus,0.0075,0.7973,0.0095,Laurasiatheria,0.0094067478
Peromyscus maniculatus bairdii,0.0021,0.351,0.017,Euarchontoglires,0.005982906
Cricetulus griseus,0.0027,0.3497,0.0224,Euarchontoglires,0.0077209036
Monodelphis domestica,0.0137,1.4831,0.048,Metatheria,0.0092374081
Microtus ochrogaster,0.0021,0.3323,0.05,Euarchontoglires,0.0063195907
Microcebus murinus,0.009,0.483,0.06,Euarchontoglires,0.0186335404
Dipodomys ordii,0.0038,0.5671,0.0755,Euarchontoglires,0.0067007582
Ictidomys tridecemlineatus,0.0061,0.5547,0.125,Euarchontoglires,0.0109969353
Carlito syrichta,0.0093,0.5067,0.1315,Euarchontoglires,0.0183540557
Fukomys damarensis,0.0173,0.5854,0.144,Euarchontoglires,0.0295524428
Tupaia chinensis,0.0087,0.5152,0.16,Euarchontoglires,0.016886646
Rattus norvegicus,0.0016,0.25,0.325,Euarchontoglires,0.0064
Callithrix jacchus,0.0099,0.4944,0.33,Euarchontoglires,0.0200242718
Nannospalax galili,0.0079,0.447,0.375,Euarchontoglires,0.0176733781
Jaculus jaculus,0.0027,0.4902,0.6,Euarchontoglires,0.0055079559
Chinchilla lanigera,0.0098,0.5361,0.65,Euarchontoglires,0.0182801716
Aotus nancymaae,0.0099,0.4731,0.75,Euarchontoglires,0.0209258085
Cavia porcellus,0.0081,0.5228,0.9,Euarchontoglires,0.0154934966
Chlorocebus sabaeus,0.0118,0.4966,5,Euarchontoglires,0.0237615787
Nomascus leucogenys,0.0152,0.4653,5.7,Euarchontoglires,0.0326670965
Macaca fascicularis,0.0129,0.4693,6.55,Euarchontoglires,0.0274877477
Macaca nemestrina,0.0135,0.4756,6.55,Euarchontoglires,0.0283851976
Macaca mulatta,0.0134,0.4514,8,Euarchontoglires,0.0296854231
Colobus angolensis palliatus,0.0124,0.5181,8.9,Euarchontoglires,0.0239336036
Cercocebus atys,0.0135,0.4789,9.5,Euarchontoglires,0.0281896012
Rhinopithecus roxellana,0.0135,0.5046,16.4,Euarchontoglires,0.0267538644
Mandrillus leucophaeus,0.0129,0.4881,18.25,Euarchontoglires,0.0264290104
Papio anubis,0.0146,0.4839,19.5,Euarchontoglires,0.030171523
Canis lupus familiaris,0.0172,0.7124,35.5,Laurasiatheria,0.0241437395
Pan paniscus,0.0152,0.4878,44,Euarchontoglires,0.0311603116
Pan troglodytes,0.0163,0.48,48,Euarchontoglires,0.0339583333
Pongo abelii,0.0163,0.4395,60,Euarchontoglires,0.0370875995
Orycteropus afer afer,0.0149,0.6329,61,zAfrotheria,0.0235424238
Homo sapiens,0.0157,0.4699,68,Euarchontoglires,0.0334113641
Ovis aries musimon,0.0198,0.5287,110,Laurasiatheria,0.0374503499
Sus scrofa,0.0189,0.6292,169,Laurasiatheria,0.0300381437
Panthera tigris altaica,0.02,0.6216,176.4,Laurasiatheria,0.0321750322
Bos taurus,0.0225,0.5168,465,Laurasiatheria,0.0435371517
Equus caballus,0.0211,0.5227,563.5,Laurasiatheria,0.0403673235
Loxodonta africana,0.0264,0.5872,4800,zAfrotheria,0.0449591281
