Species,dn,ds,Mass (kg),Clade,dn/ds
Sorex araneus,0.0074,0.668,0.0095,Laurasiatheria,0.0110778443
Peromyscus maniculatus bairdii,0.0012,0.2933,0.017,Euarchontoglires,0.004091374
Cricetulus griseus,0.0012,0.3219,0.0224,Euarchontoglires,0.0037278658
Monodelphis domestica,0.0127,0.9395,0.048,Metatheria,0.0135178286
Microtus ochrogaster,0.0021,0.2907,0.05,Euarchontoglires,0.0072239422
Microcebus murinus,0.0099,0.4821,0.06,Euarchontoglires,0.0205351587
Dipodomys ordii,0.0052,0.5071,0.0755,Euarchontoglires,0.0102543877
Ictidomys tridecemlineatus,0.0068,0.489,0.125,Euarchontoglires,0.0139059305
Sus scrofa,0.0173,0.5471,0.1315,Euarchontoglires,0.0316212758
Fukomys damarensis,0.0125,0.5081,0.144,Euarchontoglires,0.0246014564
Tupaia chinensis,0.0078,0.4929,0.16,Euarchontoglires,0.0158247109
Rattus norvegicus,0.0019,0.1938,0.325,Euarchontoglires,0.0098039216
Callithrix jacchus,0.0098,0.4633,0.33,Euarchontoglires,0.0211526009
Nannospalax galili,0.0058,0.41,0.375,Euarchontoglires,0.0141463415
Jaculus jaculus,0.0061,0.4931,0.6,Euarchontoglires,0.0123707159
Chinchilla lanigera,0.0122,0.4724,0.65,Euarchontoglires,0.0258255715
Aotus nancymaae,0.0106,0.4844,0.75,Euarchontoglires,0.0218827415
Cavia porcellus,0.0104,0.5433,0.9,Euarchontoglires,0.0191422787
Chlorocebus sabaeus,0.0138,0.4519,5,Euarchontoglires,0.0305377296
Nomascus leucogenys,0.0155,0.4725,5.7,Euarchontoglires,0.0328042328
Macaca fascicularis,0.0146,0.4613,6.55,Euarchontoglires,0.0316496857
Macaca nemestrina,0.0146,0.4685,6.55,Euarchontoglires,0.0311632871
Macaca mulatta,0.015,0.4604,8,Euarchontoglires,0.0325803649
Colobus angolensis palliatus,0.0134,0.4616,8.9,Euarchontoglires,0.0290294627
Cercocebus atys,0.0146,0.4497,9.5,Euarchontoglires,0.0324660885
Rhinopithecus roxellana,0.0142,0.4719,16.4,Euarchontoglires,0.030091121
Mandrillus leucophaeus,0.0142,0.4503,18.25,Euarchontoglires,0.0315345325
Papio anubis,0.0158,0.4548,19.5,Euarchontoglires,0.0347405453
Canis lupus familiaris,0.014,0.527,35.5,Laurasiatheria,0.0265654649
Pan paniscus,0.0163,0.4921,44,Euarchontoglires,0.0331233489
Pan troglodytes,0.0163,0.4981,48,Euarchontoglires,0.0327243525
Pongo abelii,0.0159,0.4823,60,Euarchontoglires,0.032967033
Orycteropus afer afer,0.0159,0.5384,61,zAfrotheria,0.0295319465
Homo sapiens,0.0159,0.4837,68,Euarchontoglires,0.0328716146
Ovis aries musimon,0.0208,0.6211,110,Laurasiatheria,0.0334889712
Carlito syrichta,0.0082,0.5544,169,Laurasiatheria,0.0147907648
Panthera tigris altaica,0.0148,0.5246,176.4,Laurasiatheria,0.028211971
Bos taurus,0.0214,0.6637,465,Laurasiatheria,0.0322434835
Equus caballus,0.0176,0.4912,563.5,Laurasiatheria,0.0358306189
Loxodonta africana,0.0239,0.4751,4800,zAfrotheria,0.0503051989
