Species,dn,ds,Mass (kg),Clade,dn/ds
Myotis brandtii,0.012,0.9047,0.0069,Laurasiatheria,0.0132640654
Sorex araneus,0.0183,1.5305,0.0095,Euarchontoglires,0.0119568768
Miniopterus natalensis,0.0097,1.0209,0.01,Laurasiatheria,0.0095014203
Mus caroli,0.0004,0.1064,0.011,Euarchontoglires,0.0037593985
Mus pahari,0.0019,0.1622,0.017,Euarchontoglires,0.0117139334
Peromyscus maniculatus bairdii,0.0042,0.5084,0.017,Euarchontoglires,0.0082612116
Cricetulus griseus,0.0128,0.5104,0.0224,Euarchontoglires,0.0250783699
Eptesicus fuscus,0.0112,0.9207,0.023,Laurasiatheria,0.0121646573
Desmodus rotundus,0.0155,0.8287,0.033,Laurasiatheria,0.0187039942
Monodelphis domestica,0.0206,2.2776,0.048,Metatheria,0.0090446084
Rousettus aegyptiacus,0.0086,0.8243,0.125,Laurasiatheria,0.0104330947
Carlito syrichta,0.0132,0.8759,0.1315,Euarchontoglires,0.0150702135
Fukomys damarensis,0.0125,0.8186,0.144,Euarchontoglires,0.0152699731
Tupaia chinensis,0.016,0.9951,0.16,Euarchontoglires,0.0160787861
Octodon degus,0.0154,0.827,0.235,Euarchontoglires,0.0186215236
Rattus norvegicus,0.0052,0.3362,0.325,Euarchontoglires,0.0154669839
Callithrix jacchus,0.0116,0.9629,0.33,Euarchontoglires,0.0120469415
Nannospalax galili,0.01,0.6053,0.375,Euarchontoglires,0.0165207335
Jaculus jaculus,0.0415,0.7474,0.6,Euarchontoglires,0.0555258229
Chinchilla lanigera,0.0108,0.846,0.65,Euarchontoglires,0.0127659574
Pteropus alecto,0.0091,0.8247,0.74,Laurasiatheria,0.0110343155
Aotus nancymaae,0.0129,0.9777,0.75,Euarchontoglires,0.0131942314
Urocitellus parryii,0.0107,0.7289,0.791,Euarchontoglires,0.0146796543
Pteropus vampyrus,0.0087,0.9462,0.85,Laurasiatheria,0.0091946734
Cavia porcellus,0.0117,0.7378,0.9,Euarchontoglires,0.0158579561
Galeopterus variegatus,0.0131,0.8193,1.45,Euarchontoglires,0.0159892591
Oryctolagus cuniculus,0.0092,1.5667,2,Euarchontoglires,0.0058722155
Felis catus,0.0109,0.7037,4.75,Laurasiatheria,0.0154895552
Chlorocebus sabaeus,0.0131,0.989,5,Euarchontoglires,0.0132457027
Macaca fascicularis,0.0139,1.0083,6.55,Euarchontoglires,0.0137855797
Macaca nemestrina,0.0135,0.9482,6.55,Euarchontoglires,0.0142375026
Macaca mulatta,0.0135,1.045,8,Euarchontoglires,0.0129186603
Piliocolobus tephrosceles,0.0155,0.8952,8.8,Euarchontoglires,0.0173145666
Colobus angolensis palliatus,0.0138,0.9711,8.9,Euarchontoglires,0.0142106889
Cercocebus atys,0.0151,0.9619,9.5,Euarchontoglires,0.0156980975
Vulpes vulpes,0.0174,0.8864,14,Laurasiatheria,0.0196299639
Phascolarctos cinereus,0.022,1.4688,15,Euarchontoglires,0.0149782135
Theropithecus gelada,0.0133,0.938,16,Euarchontoglires,0.0141791045
Rhinopithecus roxellana,0.0124,0.9862,16.4,Euarchontoglires,0.0125735145
Mandrillus leucophaeus,0.0129,0.945,18.25,Euarchontoglires,0.0136507937
Papio anubis,0.0137,0.9452,19.5,Euarchontoglires,0.0144942869
Canis lupus dingo,0.0186,0.8667,20,Laurasiatheria,0.021460713
Castor canadensis,0.0102,0.7978,22.5,Euarchontoglires,0.0127851592
Panthera pardus,0.0147,0.7826,41,Laurasiatheria,0.018783542
Pan paniscus,0.0122,0.8621,44,Euarchontoglires,0.0141514905
Capra hircus,0.0121,1.0311,45,Laurasiatheria,0.0117350402
Odocoileus virginianus texanus,0.0117,1.0068,47.6,Laurasiatheria,0.0116209774
Pan troglodytes,0.012,0.8414,48,Euarchontoglires,0.0142619444
Pongo abelii,0.0124,0.918,60,Euarchontoglires,0.0135076253
Orycteropus afer afer,0.0122,0.9306,61,zAfrotheria,0.0131098216
Homo sapiens,0.0124,0.8493,68,Euarchontoglires,0.014600259
Lipotes vexillifer,0.0202,0.9028,104.5,Laurasiatheria,0.0223748339
Ovis aries musimon,0.0128,1.0461,110,Laurasiatheria,0.0122359239
Gorilla gorilla gorilla,0.0132,0.8753,140,Euarchontoglires,0.0150805438
Sus scrofa,0.0159,0.9444,169,Laurasiatheria,0.0168360864
Neomonachus schauinslandi,0.0282,1.1452,220,Laurasiatheria,0.0246245197
Equus asinus,0.0135,0.8226,250,Laurasiatheria,0.0164113786
Ursus arctos horribilis,0.0199,1.1456,270,Laurasiatheria,0.0173708101
Tursiops truncatus,0.0199,0.9097,400,Laurasiatheria,0.0218753435
Bos taurus,0.0109,0.9196,455,Laurasiatheria,0.0118529796
Camelus bactrianus,0.0236,1.145,475,Laurasiatheria,0.0206113537
Bubalus bubalis,0.0113,1.066,725,Laurasiatheria,0.0106003752
Balaenoptera acutorostrata scammoni,0.0217,0.9042,9200,Laurasiatheria,0.0239991152
Physeter catodon,0.0203,0.9765,42500,Laurasiatheria,0.0207885305
