Species,dn,ds,Mass (kg),Clade,dn/ds
Ailuropoda melanoleuca,0.0043,1.0258,102.5,Laurasiatheria,0.0041918503
Aotus nancymaae,0.0037,0.8616,0.75,Euarchontoglires,0.0042943361
Balaenoptera acutorostrata scammoni,0.0042,1.184,9200,Laurasiatheria,0.0035472973
Bos taurus,0.0078,1.1542,455,Laurasiatheria,0.0067579276
Bubalus bubalis,0.0078,1.0374,725,Laurasiatheria,0.007518797
Callithrix jacchus,0.0038,0.9063,0.33,Euarchontoglires,0.0041928721
Camelus bactrianus,0.0056,0.992,475,Laurasiatheria,0.0056451613
Camelus dromedarius,0.0141,1.0024,495,Laurasiatheria,0.014066241
Camelus ferus,0.0056,1.0175,800,Laurasiatheria,0.0055036855
Canis lupus familiaris,0.0032,0.8398,35.5,Laurasiatheria,0.0038104311
Capra hircus,2.041,2.4953,45,Laurasiatheria,0.8179377229
Cavia porcellus,0.0043,0.8991,0.9,Euarchontoglires,0.0047825603
Ceratotherium simum simum,0.0046,0.9523,2520,Laurasiatheria,0.0048304106
Cercocebus atys,0.0048,0.7938,9.5,Euarchontoglires,0.0060468632
Chinchilla lanigera,0.0038,0.7697,0.65,Euarchontoglires,0.0049369884
Chlorocebus sabaeus,0.0043,0.7404,5,Euarchontoglires,0.0058076715
Chrysochloris asiatica,0.0043,0.9025,0.042,zAfrotheria,0.0047645429
Colobus angolensis palliatus,0.0063,0.8173,8.9,Euarchontoglires,0.0077083078
Cricetulus griseus,0.0022,0.4203,0.0224,Euarchontoglires,0.0052343564
Dipodomys ordii,0.0033,0.6561,0.0755,Euarchontoglires,0.0050297211
Elephantulus edwardii,0.0053,1.5933,0.0695,zAfrotheria,0.0033264294
Eptesicus fuscus,0.0053,1.014,0.023,Laurasiatheria,0.0052268245
Erinaceus europaeus,0.0027,0.9489,0.6,Laurasiatheria,0.0028453999
Fukomys damarensis,0.0038,0.8793,0.144,Euarchontoglires,0.0043216195
Galeopterus variegatus,0.0032,0.8042,1.45,Euarchontoglires,0.0039791097
Homo sapiens,0.0043,0.8453,68,Euarchontoglires,0.0050869514
Ictidomys tridecemlineatus,0.0026,0.8623,0.125,Euarchontoglires,0.0030151919
Jaculus jaculus,0.0042,0.7177,0.6,Euarchontoglires,0.0058520273
Lipotes vexillifer,0.0042,1.0288,104.5,Laurasiatheria,0.0040824261
Loxodonta africana,0.0037,1.0011,4800,zAfrotheria,0.0036959345
Macaca fascicularis,0.0048,0.7783,6.55,Euarchontoglires,0.0061672877
Macaca nemestrina,0.0048,0.7673,6.55,Euarchontoglires,0.0062557018
Mandrillus leucophaeus,0.0227,0.7714,18.25,Euarchontoglires,0.0294270158
Microcebus murinus,0.0053,1.0743,0.06,Euarchontoglires,0.004933445
Microtus ochrogaster,0.0022,0.3996,0.05,Euarchontoglires,0.0055055055
Myotis brandtii,0.0059,0.9664,0.0069,Laurasiatheria,0.0061051325
Myotis davidii,0.0059,1.0766,0.0085,Laurasiatheria,0.0054802155
Nannospalax galili,0.0033,0.5733,0.375,Euarchontoglires,0.0057561486
Ochotona princeps,0.0032,1.0602,0.1485,Euarchontoglires,0.0030182984
Octodon degus,0.0038,0.7909,0.235,Euarchontoglires,0.0048046529
Odobenus rosmarus divergens,0.0027,0.8865,1050,Laurasiatheria,0.0030456853
Orcinus orca,0.0048,1.1317,7200,Laurasiatheria,0.0042414067
Ornithorhynchus anatinus,0.0131,2.4757,1.65,Metatheria,0.0052914327
Orycteropus afer afer,0.0043,1.1107,61,zAfrotheria,0.0038714324
Oryctolagus cuniculus,0.0031,1.0309,2,Euarchontoglires,0.0030070812
Otolemur garnettii,0.0054,0.8081,0.1025,Euarchontoglires,0.0066823413
Ovis aries musimon,0.0078,1.2468,110,Laurasiatheria,0.0062560154
Pan paniscus,0.0043,0.7609,44,Euarchontoglires,0.0056512025
Papio anubis,0.0063,0.7547,19.5,Euarchontoglires,0.0083476878
Peromyscus maniculatus bairdii,0.0027,0.416,0.017,Euarchontoglires,0.0064903846
Pongo abelii,0.0043,0.7275,60,Euarchontoglires,0.0059106529
Propithecus coquereli,0.0043,0.8794,0.305,Euarchontoglires,0.0048896975
Pteropus alecto,0.0064,0.9811,0.74,Laurasiatheria,0.0065232902
Pteropus vampyrus,0.0064,1.0201,0.85,Laurasiatheria,0.0062738947
Rattus norvegicus,0.0016,0.273,0.325,Euarchontoglires,0.0058608059
Rhinopithecus roxellana,0.0043,0.7703,16.4,Euarchontoglires,0.0055822407
Saimiri boliviensis boliviensis,0.0037,0.8655,0.75,Euarchontoglires,0.0042749856
Vicugna pacos,0.0138,0.9428,60,Laurasiatheria,0.0146372507
