Species,dn,ds,Mass (kg),Clade,dn/ds
Ailuropoda melanoleuca,0.0234,2.8262,102.5,Laurasiatheria,0.0082796688
Aotus nancymaae,0.0196,1.3099,0.75,Euarchontoglires,0.0149629743
Balaenoptera acutorostrata scammoni,0.0268,1.5805,9200,Laurasiatheria,0.0169566593
Bos taurus,0.0292,1.4834,455,Laurasiatheria,0.0196845086
Bubalus bubalis,0.0275,1.5325,725,Laurasiatheria,0.0179445351
Callithrix jacchus,0.0216,1.133,0.33,Euarchontoglires,0.0190644307
Camelus bactrianus,0.0234,1.5272,475,Laurasiatheria,0.0153221582
Camelus dromedarius,0.0238,1.3596,495,Laurasiatheria,0.0175051486
Camelus ferus,0.0234,1.5272,800,Laurasiatheria,0.0153221582
Canis lupus familiaris,0.0226,1.4418,35.5,Laurasiatheria,0.0156748509
Capra hircus,0.0971,1.9665,45,Laurasiatheria,0.0493770659
Cavia porcellus,0.0203,1.18,0.9,Euarchontoglires,0.0172033898
Ceratotherium simum simum,0.0226,1.2875,2520,Laurasiatheria,0.0175533981
Cercocebus atys,0.0211,1.295,9.5,Euarchontoglires,0.0162934363
Chinchilla lanigera,0.0193,0.9971,0.65,Euarchontoglires,0.0193561328
Chlorocebus sabaeus,0.0215,1.2023,5,Euarchontoglires,0.0178823921
Chrysochloris asiatica,0.0238,1.3027,0.042,zAfrotheria,0.0182697474
Colobus angolensis palliatus,0.0203,1.1885,8.9,Euarchontoglires,0.0170803534
Cricetulus griseus,0.013,0.4714,0.0224,Euarchontoglires,0.0275774289
Dipodomys ordii,0.0216,0.8682,0.0755,Euarchontoglires,0.0248790601
Elephantulus edwardii,0.0232,1.4308,0.0695,zAfrotheria,0.0162147051
Eptesicus fuscus,0.0223,1.3249,0.023,Laurasiatheria,0.016831459
Erinaceus europaeus,0.0283,1.262,0.6,Laurasiatheria,0.0224247227
Fukomys damarensis,0.0203,0.8584,0.144,Euarchontoglires,0.0236486486
Galeopterus variegatus,0.021,1.2267,1.45,Euarchontoglires,0.0171191
Homo sapiens,0.0201,1.1861,68,Euarchontoglires,0.0169462946
Ictidomys tridecemlineatus,0.0198,1.0534,0.125,Euarchontoglires,0.0187962787
Jaculus jaculus,0.0246,1.2277,0.6,Euarchontoglires,0.0200374684
Lipotes vexillifer,0.0315,1.6008,104.5,Laurasiatheria,0.0196776612
Loxodonta africana,0.0936,1.3786,4800,zAfrotheria,0.0678949659
Macaca fascicularis,0.0206,1.167,6.55,Euarchontoglires,0.0176520994
Macaca nemestrina,0.0206,1.1716,6.55,Euarchontoglires,0.0175827928
Mandrillus leucophaeus,0.0211,1.2594,18.25,Euarchontoglires,0.0167540098
Microcebus murinus,0.0222,2.363,0.06,Euarchontoglires,0.0093948371
Microtus ochrogaster,0.01,0.4709,0.05,Euarchontoglires,0.0212359312
Myotis brandtii,0.0232,1.0506,0.0069,Laurasiatheria,0.0220826195
Myotis davidii,0.0239,1.1353,0.0085,Laurasiatheria,0.0210517044
Nannospalax galili,0.018,0.6915,0.375,Euarchontoglires,0.0260303688
Ochotona princeps,0.024,1.3261,0.1485,Euarchontoglires,0.0180981826
Octodon degus,0.0191,0.9739,0.235,Euarchontoglires,0.0196118698
Odobenus rosmarus divergens,0.0252,2.3478,1050,Laurasiatheria,0.0107334526
Orcinus orca,0.0272,1.7811,7200,Laurasiatheria,0.0152714615
Ornithorhynchus anatinus,0.039,2.6443,1.65,Metatheria,0.0147487048
Orycteropus afer afer,0.022,1.4882,61,zAfrotheria,0.0147829593
Oryctolagus cuniculus,0.024,1.4768,2,Euarchontoglires,0.0162513543
Otolemur garnettii,0.0226,1.1675,0.1025,Euarchontoglires,0.0193576017
Ovis aries musimon,0.0266,1.5233,110,Laurasiatheria,0.0174620889
Pan paniscus,0.0203,1.0987,44,Euarchontoglires,0.0184763812
Papio anubis,0.0206,1.1777,19.5,Euarchontoglires,0.0174917212
Peromyscus maniculatus bairdii,0.0079,0.4977,0.017,Euarchontoglires,0.0158730159
Pongo abelii,0.0207,1.0101,60,Euarchontoglires,0.0204930205
Propithecus coquereli,0.0204,1.5671,0.305,Euarchontoglires,0.013017676
Pteropus alecto,0.0239,1.1689,0.74,Laurasiatheria,0.0204465737
Pteropus vampyrus,0.0246,1.1537,0.85,Laurasiatheria,0.0213227009
Rattus norvegicus,0.0026,0.3094,0.325,Euarchontoglires,0.0084033613
Rhinopithecus roxellana,0.0208,1.0633,16.4,Euarchontoglires,0.0195617417
Saimiri boliviensis boliviensis,0.021,1.3769,0.75,Euarchontoglires,0.0152516523
Vicugna pacos,0.0232,1.3772,60,Laurasiatheria,0.016845774
