tag,id,Species,Mass (kg),Clade
XP+AF8-002921226.1,96.929824,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-007175343.1,95.175439,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
XP+AF8-010841308.1,95.350879,Bison bison bison,600,Laurasiatheria
XP+AF8-005907260.1,96.315789,Bos mutus,562.5,Laurasiatheria
NP+AF8-001095305.1,96.315789,Bos taurus,455,Laurasiatheria
XP+AF8-006055107.1,96.49123,Bubalus bubalis,725,Laurasiatheria
XP+AF8-002806839.1,97.80702,Callithrix jacchus,0.33,Euarchontoglires
XP+AF8-010964285.1,95.877194,Camelus bactrianus,475,Laurasiatheria
XP+AF8-010986392.1,94.736844,Camelus dromedarius,495,Laurasiatheria
XP+AF8-006181417.1,96.052629,Camelus ferus,800,Laurasiatheria
XP+AF8-001114005.2,97.7193,Canis lupus dingo,20,Laurasiatheria
XP+AF8-005619582.1,97.192985,Canis lupus familiaris,35.5,Laurasiatheria
XP+AF8-003466269.1,97.894734,Cavia porcellus,0.9,Euarchontoglires
XP+AF8-004433113.1,97.543859,Ceratotherium simum simum,2520,Laurasiatheria
XP+AF8-011906114.1,97.80702,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-005399419.1,97.456139,Chinchilla lanigera,0.65,Euarchontoglires
XP+AF8-008008568.1,97.80702,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-004684642.1,97.192985,Condylura cristata,0.055,Laurasiatheria
XP+AF8-007630255.1,97.7193,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-004483195.1,96.842104,Dasypus novemcinctus,5.5,Metatheria
XP+AF8-012868629.1,98.157895,Dipodomys ordii,0.0755,Euarchontoglires
XP+AF8-008151670.1,96.315789,Eptesicus fuscus,0.023,Laurasiatheria
XP+AF8-001504905.2,97.456139,Equus caballus,563.5,Laurasiatheria
XP+AF8-008527759.1,97.100174,Equus przewalskii,250,Laurasiatheria
XP+AF8-007522826.1,97.105265,Erinaceus europaeus,0.6,Laurasiatheria
XP+AF8-011287146.1,96.842104,Felis catus,4.75,Laurasiatheria
XP+AF8-010613296.1,97.63158,Fukomys damarensis,0.144,Euarchontoglires
NP+AF8-002461.2,97.7193,Homo sapiens,68,Euarchontoglires
XP+AF8-005332936.1,98.245615,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-004663184.1,97.7193,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-006744844.1,97.543859,Leptonychotes weddellii,500,Laurasiatheria
XP+AF8-007457908.1,92.719299,Lipotes vexillifer,104.5,Laurasiatheria
XP+AF8-005582959.1,97.7193,Macaca fascicularis,6.55,Euarchontoglires
XP+AF8-011828556.1,97.80702,Mandrillus leucophaeus,18.25,Euarchontoglires
XP+AF8-005349905.1,99.122804,Microtus ochrogaster,0.05,Euarchontoglires
XP+AF8-001371653.1,94.468832,Monodelphis domestica,0.048,Euarchontoglires
NP+AF8-001093105.1,100,Mus musculus,0.017,Euarchontoglires
XP+AF8-004760220.1,97.280699,Mustela putorius furo,1.5,Laurasiatheria
XP+AF8-005878881.1,96.403509,Myotis brandtii,0.0069,Laurasiatheria
XP+AF8-006099793.1,96.390843,Myotis lucifugus,0.008,Laurasiatheria
XP+AF8-008853933.1,98.94737,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-012356893.1,97.894734,Nomascus leucogenys,5.7,Euarchontoglires
XP+AF8-004645229.1,97.894734,Octodon degus,0.235,Euarchontoglires
XP+AF8-004398481.1,97.368419,Odobenus rosmarus divergens,1050,Laurasiatheria
XP+AF8-004266884.1,94.912279,Orcinus orca,7200,Laurasiatheria
NP+AF8-001182585.1,96.228069,Oryctolagus cuniculus,2,Euarchontoglires
XP+AF8-012661460.1,96.49123,Otolemur garnettii,0.1025,Euarchontoglires
XP+AF8-008969597.1,97.7193,Pan paniscus,44,Euarchontoglires
XP+AF8-007086007.1,96.754384,Panthera tigris altaica,176.4,Laurasiatheria
XP+AF8-005959866.1,96.052629,Pantholops hodgsonii,33,Laurasiatheria
XP+AF8-009187946.1,97.80702,Papio anubis,19.5,Euarchontoglires
XP+AF8-006973571.1,99.561405,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-012509396.1,97.80702,Propithecus coquereli,0.305,Euarchontoglires
XP+AF8-006922456.1,97.539544,Pteropus alecto,0.74,Laurasiatheria
XP+AF8-011357263.1,97.80702,Pteropus vampyrus,0.85,Laurasiatheria
NP+AF8-036736.1,99.73684,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-004603954.1,95.877194,Sorex araneus,0.0095,Laurasiatheria
XP+AF8-008048958.1,97.80702,Tarsius syrichta,0.1315,Euarchontoglires
XP+AF8-006156482.1,97.543859,Tupaia chinensis,0.16,Euarchontoglires
XP+AF8-006216239.1,95.961368,Vicugna pacos,60,Laurasiatheria
