Tag,Species,Clade,Mass (kg),Id,dn/ds,dn,ds,Eu,Eudn,Euds,La,Ladn,Lads,Met,Metdn,Metds
XP+AF8-004390,Trichechus manatus latirostris,Zafrotheria,480,95.499998,0.0513147817,0.0201,0.3917,,,,,,,,,
XP+AF8-008564,Galeopterus variegatus,Euarchontoglires,1.45,95.999998,0.0618271301,0.0201,0.3251,0.0618271301,0.0201,0.3251,0.050983652,0.0184,0.3609,0.0409887359,0.0262,0.6392
XP+AF8-008065,Tarsius syrichta,Euarchontoglires,0.1315,97.375,0.0390535918,0.0137,0.3508,0.0390535918,0.0137,0.3508,0.0510467451,0.0178,0.3487,0.033045977,0.023,0.696
XP+AF8-023363,Otolemur garnettii,Euarchontoglires,0.1025,96.625,0.0449010654,0.0177,0.3942,0.0449010654,0.0177,0.3942,0.0763468741,0.0265,0.3471,0.0429457611,0.027,0.6287
XP+AF8-003474,Cavia porcellus,Euarchontoglires,0.9,97.000003,0.0419837313,0.016,0.3811,0.0419837313,0.016,0.3811,0.0379746835,0.0147,0.3871,0.0390726752,0.015,0.3839
XP+AF8-004646,Octodon degus,Euarchontoglires,0.235,98.374999,0.0334448161,0.013,0.3887,0.0334448161,0.013,0.3887,0.0617944147,0.0208,0.3366,,,
XP+AF8-015862,Peromyscus maniculatus bairdii,Euarchontoglires,0.017,100,0.0395434162,0.0097,0.2453,0.0395434162,0.0097,0.2453,0.0702360391,0.0244,0.3474,,,
XP+AF8-007609,Cricetulus griseus,Euarchontoglires,0.0224,98.124999,0.0425824176,0.0093,0.2184,0.0425824176,0.0093,0.2184,0.0636177074,0.0217,0.3411,,,
XP+AF8-008838,Nannospalax galili,Euarchontoglires,0.375,99.000001,0.0333094556,0.0093,0.2792,0.0333094556,0.0093,0.2792,0.0626647145,0.0214,0.3415,,,
XP+AF8-004661,Jaculus jaculus,Euarchontoglires,0.6,99.5,0.0248815166,0.0084,0.3376,0.0248815166,0.0084,0.3376,0.0676411579,0.0236,0.3489,,,
XP+AF8-006252,Rattus norvegicus,Euarchontoglires,0.325,99.5,0.0246984492,0.0043,0.1741,0.0246984492,0.0043,0.1741,0.0667043527,0.0236,0.3538,,,
