tag,id,Species,Mass (kg),Clade
XP+AF8-011784563.1,96.111578,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-012310550.1,96.111578,Aotus nancymaae,0.75,Euarchontoglires
XP+AF8-007447875.1,90.862942,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
XP+AF8-011219585.1,96.740091,Bison bison bison,600,Laurasiatheria
XP+AF8-015004631.1,96.111578,Bos mutus,562.5,Laurasiatheria
XP+AF8-010959124.1,96.37931,Bos taurus,755,Laurasiatheria
XP+AF8-006048192.1,95.497024,Bubalus bubalis,725,Laurasiatheria
XP+AF8-011376613.1,96.449703,Camelus bactrianus,475,Laurasiatheria
XP+AF8-015313457.1,96.196109,Camelus ferus,800,Laurasiatheria
XP+AF8-014706228.1,96.87236,Capra hircus,45,Laurasiatheria
XP+AF8-014406126.1,95.927209,Cavia porcellus,0.9,Euarchontoglires
XP+AF8-012420312.1,96.703297,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-014590609.1,96.534234,Chinchilla lanigera,0.65,Euarchontoglires
XP+AF8-008068460.1,95.773458,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-006876946.1,95.604396,Chrysochloris asiatica,0.042,zAfrotheria
XP+AF8-012370111.1,96.87236,Colobus angolensis palliatus,8.9,Euarchontoglires
XP+AF8-012806501.1,96.956891,Condylura cristata,0.055,Laurasiatheria
XP+AF8-007932924.1,95.688927,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-004454880.1,96.196109,Dasypus novemcinctus,5.5,Metatheria
XP+AF8-013824329.1,96.28064,Dipodomys ordii,0.0755,Euarchontoglires
XP+AF8-006881764.1,95.942521,Elephantulus edwardii,0.0695,zAfrotheria
XP+AF8-008254289.1,95.350802,Eptesicus fuscus,0.023,Laurasiatheria
XP+AF8-534397.5,97.125953,Equus caballus,563.5,Laurasiatheria
XP+AF8-008570030.1,95.773458,Equus przewalskii,250,Laurasiatheria
XP+AF8-007640018.1,98.732036,Erinaceus europaeus,0.6,Laurasiatheria
XP+AF8-003983653.3,97.041422,Felis catus,4.75,Laurasiatheria
XP+AF8-010853315.1,96.435642,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-008696501.1,93.41051,Galeopterus variegatus,1.45,Euarchontoglires
XP+AF8-014311974.1,96.196109,Heterocephalus glaber,0.055,Euarchontoglires
NP+AF8-065935.3,95.773458,Homo sapiens,68,Euarchontoglires
XP+AF8-005329955.1,97.464073,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-013369505.1,97.041422,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-006727585.1,95.744681,Leptonychotes weddellii,500,Laurasiatheria
XP+AF8-007522762.1,95.350802,Lipotes vexillifer,104.5,Laurasiatheria
XP+AF8-010809975.1,96.703297,Loxodonta africana,4800,zAfrotheria
XP+AF8-012389604.1,93.660188,Mandrillus leucophaeus,18.25,Euarchontoglires
XP+AF8-014335160.1,96.545452,Mesocricetus auratus,0.099,Euarchontoglires
XP+AF8-012866455.1,96.787828,Microcebus murinus,0.06,Euarchontoglires
XP+AF8-014417976.1,96.703297,Microtus ochrogaster,0.05,Euarchontoglires
NP+AF8-001078847.1,100,Mus musculus,0.017,Euarchontoglires
XP+AF8-015093353.1,96.87236,Myotis brandtii,0.0069,Laurasiatheria
XP+AF8-006764636.1,96.111578,Myotis davidii,0.0085,Laurasiatheria
XP+AF8-014955329.1,94.709897,Myotis lucifugus,0.008,Laurasiatheria
XP+AF8-008955466.1,95.85799,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-012521165.1,96.365172,Nomascus leucogenys,5.7,Euarchontoglires
XP+AF8-013005713.1,96.787828,Ochotona princeps,0.1485,Euarchontoglires
XP+AF8-012583679.1,95.688927,Octodon degus,0.235,Euarchontoglires
XP+AF8-012782627.1,96.111578,Odobenus rosmarus divergens,1050,Laurasiatheria
XP+AF8-012659597.1,95.604396,Orcinus orca,7200,Laurasiatheria
XP+AF8-008019811.1,96.027052,Orycteropus afer afer,61,zAfrotheria
XP+AF8-008522733.1,96.787828,Oryctolagus cuniculus,2,Euarchontoglires
XP+AF8-012922161.1,96.618766,Otolemur garnettii,0.1025,Euarchontoglires
XP+AF8-009231820.1,95.773458,Pan paniscus,44,Euarchontoglires
XP+AF8-010384827.1,96.111578,Pan troglodytes,48,Euarchontoglires
XP+AF8-005976913.1,96.108294,Pantholops hodgsonii,33,Laurasiatheria
XP+AF8-009435359.1,95.85799,Papio anubis,19.5,Euarchontoglires
XP+AF8-007115424.1,94.665539,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-007193439.1,95.047784,Physeter catodon,42500,Laurasiatheria
XP+AF8-010340976.1,95.604396,Pongo abelii,60,Euarchontoglires
XP+AF8-012789094.1,95.181739,Propithecus coquereli,0.305,Euarchontoglires
XP+AF8-006922115.1,96.539485,Pteropus alecto,0.74,Laurasiatheria
XP+AF8-011827803.1,95.942521,Pteropus vampyrus,0.85,Laurasiatheria
NP+AF8-001101264.2,99.239224,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-010638375.1,96.542782,Rhinopithecus roxellana,16.4,Euarchontoglires
XP+AF8-010590146.1,96.365172,Saimiri boliviensis boliviensis,0.75,Euarchontoglires
XP+AF8-013207535.1,98.562974,Sorex araneus,0.0095,Laurasiatheria
XP+AF8-014926943.1,96.299905,Sus scrofa,169,Laurasiatheria
XP+AF8-008147987.1,96.365172,Tarsius syrichta,0.1315,Euarchontoglires
XP+AF8-004370639.1,95.350802,Trichechus manatus latirostris,480,zAfrotheria
XP+AF8-006144105.1,96.703297,Tupaia chinensis,0.16,Euarchontoglires
XP+AF8-004323846.1,92.794377,Tursiops truncatus,400,Laurasiatheria
XP+AF8-008846094.1,97.802198,Ursus maritimus,475,Laurasiatheria
