tag,id,Species,Mass (kg),Clade
XP+AF8-014922588.1,96.875,Acinonyx jubatus,51,Laurasiatheria
XP+AF8-002927054.1,97.000003,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-012332842.1,97.874999,Aotus nancymaae,0.75,Euarchontoglires
XP+AF8-007188400.1,97.000003,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
XP+AF8-010838195.1,96.125001,Bison bison bison,600,Laurasiatheria
NP+AF8-001095597.1,96.125001,Bos taurus,455,Laurasiatheria
XP+AF8-006050134.1,96.249998,Bubalus bubalis,725,Laurasiatheria
XP+AF8-009007424.1,97.874999,Callithrix jacchus,0.33,Euarchontoglires
XP+AF8-010959401.1,96.499997,Camelus bactrianus,475,Laurasiatheria
XP+AF8-010980909.1,96.499997,Camelus dromedarius,495,Laurasiatheria
XP+AF8-006179140.1,96.499997,Camelus ferus,800,Laurasiatheria
XP+AF8-005621571.1,97.624999,Canis lupus familiaris,35.5,Laurasiatheria
XP+AF8-013830195.1,96.625,Capra hircus,45,Laurasiatheria
XP+AF8-003477840.1,97.750002,Cavia porcellus,0.9,Euarchontoglires
XP+AF8-004441897.1,96.375,Ceratotherium simum simum,2520,Laurasiatheria
XP+AF8-011886023.1,97.624999,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-013373293.1,98.124999,Chinchilla lanigera,0.65,Euarchontoglires
XP+AF8-007984692.1,97.624999,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-006872026.1,97.500002,Chrysochloris asiatica,0.042,zAfrotheria
XP+AF8-004692163.1,97.358489,Condylura cristata,0.055,Laurasiatheria
XP+AF8-007641551.1,99.5,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-012385860.1,97.000003,Dasypus novemcinctus,5.5,Metatheria
XP+AF8-012867025.1,98.124999,Dipodomys ordii,0.0755,Euarchontoglires
XP+AF8-006892733.1,98.124999,Elephantulus edwardii,0.0695,zAfrotheria
XP+AF8-008139772.1,94.999999,Eptesicus fuscus,0.023,Laurasiatheria
XP+AF8-014693090.1,96.249998,Equus asinus,250,Laurasiatheria
XP+AF8-001916791.1,96.125001,Equus caballus,563.5,Laurasiatheria
XP+AF8-007516594.1,97.375,Erinaceus europaeus,0.6,Laurasiatheria
XP+AF8-011288883.1,97.624999,Felis catus,4.75,Laurasiatheria
XP+AF8-010609078.1,98.624998,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-008585991.1,97.125,Galeopterus variegatus,1.45,Euarchontoglires
XP+AF8-004057306.1,96.996248,Gorilla gorilla gorilla,140,Euarchontoglires
NP+AF8-002465.1,97.375,Homo sapiens,68,Euarchontoglires
XP+AF8-013213332.1,98.500001,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-004652107.1,97.730309,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-006728707.1,97.624999,Leptonychotes weddellii,500,Laurasiatheria
XP+AF8-007467002.1,97.125,Lipotes vexillifer,104.5,Laurasiatheria
XP+AF8-003421934.1,96.375,Loxodonta africana,4800,zAfrotheria
XP+AF8-005591382.1,97.624999,Macaca fascicularis,6.55,Euarchontoglires
XP+AF8-014981179.1,97.624999,Macaca mulatta,8,Euarchontoglires
XP+AF8-012974040.1,99.000001,Mesocricetus auratus,0.099,Euarchontoglires
XP+AF8-012645678.1,98.124999,Microcebus murinus,0.06,Euarchontoglires
XP+AF8-005350411.1,98.624998,Microtus ochrogaster,0.05,Euarchontoglires
XP+AF8-001365978.1,97.500002,Monodelphis domestica,0.048,Metatheria
NP+AF8-038635.2,100,Mus musculus,0.017,Euarchontoglires
XP+AF8-004751022.1,97.624999,Mustela putorius furo,1.5,Laurasiatheria
XP+AF8-014322535.1,97.125,Myotis lucifugus,0.008,Laurasiatheria
XP+AF8-008828101.1,98.124999,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-012352543.1,97.500002,Nomascus leucogenys,5.7,Euarchontoglires
XP+AF8-004586849.1,97.000003,Ochotona princeps,0.1485,Euarchontoglires
XP+AF8-004644549.1,98.374999,Octodon degus,0.235,Euarchontoglires
XP+AF8-004408992.1,97.874999,Odobenus rosmarus divergens,1050,Laurasiatheria
XP+AF8-004270196.1,97.874999,Orcinus orca,7200,Laurasiatheria
XP+AF8-007954661.1,97.000003,Orycteropus afer afer,61,zAfrotheria
NP+AF8-001075777.1,97.624999,Oryctolagus cuniculus,2,Euarchontoglires
XP+AF8-012661197.1,97.750002,Otolemur garnettii,0.1025,Euarchontoglires
XP+AF8-014959580.1,96.249998,Ovis aries,110,Laurasiatheria
XP+AF8-005957867.1,96.625,Pantholops hodgsonii,33,Laurasiatheria
XP+AF8-009194329.1,97.624999,Papio anubis,19.5,Euarchontoglires
XP+AF8-006983926.1,99.5,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-007127156.1,96.375,Physeter catodon,42500,Laurasiatheria
XP+AF8-006910968.1,97.250003,Pteropus alecto,0.74,Laurasiatheria
NP+AF8-001164071.1,99.250001,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-010330913.1,94.199246,Saimiri boliviensis boliviensis,0.75,Euarchontoglires
XP+AF8-003761720.1,97.500002,Sarcophilus harrisii,8,Metatheria
XP+AF8-004604378.1,97.125,Sorex araneus,0.0095,Laurasiatheria
XP+AF8-008051201.1,98.000002,Tarsius syrichta,0.1315,Euarchontoglires
XP+AF8-004373338.1,95.999998,Trichechus manatus latirostris,480,zAfrotheria
XP+AF8-006146628.1,98.000002,Tupaia chinensis,0.16,Euarchontoglires
XP+AF8-008695363.1,97.375,Ursus maritimus,475,Laurasiatheria
XP+AF8-006212150.1,96.625,Vicugna pacos,60,Laurasiatheria
