tag,id,Species,Mass (kg),Clade
XP+AF8-002921232.1,96.499997,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-007175342.1,94.125003,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
XP+AF8-010841310.1,96.625,Bison bison bison,600,Laurasiatheria
NP+AF8-001193103.1,96.749997,Bos taurus,455,Laurasiatheria
XP+AF8-006055112.1,96.875,Bubalus bubalis,725,Laurasiatheria
XP+AF8-008994767.1,96.625,Callithrix jacchus,0.33,Euarchontoglires
XP+AF8-010964288.1,96.428573,Camelus bactrianus,475,Laurasiatheria
XP+AF8-014408080.1,96.875,Camelus ferus,800,Laurasiatheria
NP+AF8-001070703.1,96.875,Canis lupus familiaris,35.5,Laurasiatheria
XP+AF8-011906164.1,97.250003,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-008008563.1,97.624999,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-006863488.1,97.125,Chrysochloris asiatica,0.042,zAfrotheria
XP+AF8-011788643.1,97.250003,Colobus angolensis palliatus,8.9,Euarchontoglires
XP+AF8-012868612.1,97.750002,Dipodomys ordii,0.0755,Euarchontoglires
tr+AHw-F6UP52+AHw-F6UP52+AF8-HORSE,96.625,Equus caballus,563.5,Laurasiatheria
tr+AHw-M3WDH8+AHw-M3WDH8+AF8-FELCA,97.000003,Felis catus,4.75,Laurasiatheria
XP+AF8-010613284.1,97.125,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-004058638.1,95.844156,Gorilla gorilla gorilla,140,Euarchontoglires
NP+AF8-002463.2,97.500002,Homo sapiens,68,Euarchontoglires
tr+AHw-I3MBZ4+AHw-I3MBZ4+AF8-ICTTR,97.250003,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-007457921.1,94.625002,Lipotes vexillifer,104.5,Laurasiatheria
XP+AF8-003416975.1,97.125,Loxodonta africana,4800,zAfrotheria
XP+AF8-005582958.1,97.500002,Macaca fascicularis,6.55,Euarchontoglires
XP+AF8-001113700.1,97.500002,Macaca mulatta,8,Euarchontoglires
XP+AF8-011725690.1,97.500002,Macaca nemestrina,6.55,Euarchontoglires
XP+AF8-011828575.1,97.269183,Mandrillus leucophaeus,18.25,Euarchontoglires
XP+AF8-001371505.1,95.477384,Monodelphis domestica,0.048,Metatheria
NP+AF8-796343.2,100,Mus musculus,0.017,Euarchontoglires
tr+AHw-M3Y2P8+AHw-M3Y2P8+AF8-MUSPF,96.875,Mustela putorius furo,1.5,Laurasiatheria
XP+AF8-006761787.1,95.625001,Myotis davidii,0.0085,Laurasiatheria
tr+AHw-G1PUH7+AHw-G1PUH7+AF8-MYOLU,95.625001,Myotis lucifugus,0.008,Laurasiatheria
XP+AF8-008853937.1,96.125001,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-003274734.1,97.000003,Nomascus leucogenys,5.7,Euarchontoglires
XP+AF8-007946222.1,96.875,Orycteropus afer afer,61,zAfrotheria
XP+AF8-002719006.1,97.874999,Oryctolagus cuniculus,2,Euarchontoglires
tr+AHw-H0X5N0+AHw-H0X5N0+AF8-OTOGA,97.375,Otolemur garnettii,0.1025,Euarchontoglires
tr+AHw-W5PBN5+AHw-W5PBN5+AF8-SHEEP,96.749997,Ovis aries,110,Laurasiatheria
XP+AF8-008969588.1,97.500002,Pan paniscus,44,Euarchontoglires
XP+AF8-511839.2,97.375,Pan troglodytes,48,Euarchontoglires
XP+AF8-007086009.1,96.749997,Panthera tigris altaica,176.4,Laurasiatheria
XP+AF8-005959864.1,96.499997,Pantholops hodgsonii,33,Laurasiatheria
XP+AF8-009187945.1,97.375,Papio anubis,19.5,Euarchontoglires
XP+AF8-006973568.1,99.624997,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-007123482.1,94.999999,Physeter catodon,42500,Laurasiatheria
XP+AF8-009249569.1,97.375,Pongo abelii,60,Euarchontoglires
XP+AF8-006922496.1,96.499997,Pteropus alecto,0.74,Laurasiatheria
NP+AF8-001093955.1,99.374998,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-010377893.1,97.375,Rhinopithecus roxellana,16.4,Euarchontoglires
XP+AF8-010338308.1,96.855348,Saimiri boliviensis boliviensis,0.75,Euarchontoglires
tr+AHw-G3W5Q5+AHw-G3W5Q5+AF8-SARHA,94.499999,Sarcophilus harrisii,8,Metatheria
XP+AF8-012787140.1,96.499997,Sorex araneus,0.0095,Laurasiatheria
XP+AF8-008048946.1,97.500002,Tarsius syrichta,0.1315,Euarchontoglires
XP+AF8-006156478.1,97.371715,Tupaia chinensis,0.16,Euarchontoglires
XP+AF8-008686236.1,96.375,Ursus maritimus,475,Laurasiatheria
