tag,id,Species,Mass (kg),Clade
XP+AF8-011784563.1,97.222221,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-012310550.1,96.263343,Aotus nancymaae,0.75,Euarchontoglires
XP+AF8-007447875.1,95.209581,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
XP+AF8-011219585.1,96.253604,Bison bison bison,600,Laurasiatheria
XP+AF8-015004631.1,97.225893,Bos mutus,562.5,Laurasiatheria
XP+AF8-010959124.1,96.56539,Bos taurus,755,Laurasiatheria
XP+AF8-006048192.1,96.653283,Bubalus bubalis,725,Laurasiatheria
XP+AF8-011376613.1,96.961689,Camelus bactrianus,475,Laurasiatheria
XP+AF8-015313457.1,97.225893,Camelus ferus,800,Laurasiatheria
XP+AF8-014706228.1,96.829593,Capra hircus,45,Laurasiatheria
XP+AF8-014406126.1,96.56539,Cavia porcellus,0.9,Euarchontoglires
XP+AF8-012420312.1,96.301186,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-014590609.1,96.829593,Chinchilla lanigera,0.65,Euarchontoglires
XP+AF8-008068460.1,97.463286,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-006876946.1,97.225893,Chrysochloris asiatica,0.042,zAfrotheria
XP+AF8-012370111.1,97.754294,Colobus angolensis palliatus,8.9,Euarchontoglires
XP+AF8-012806501.1,97.754294,Condylura cristata,0.055,Laurasiatheria
XP+AF8-007932924.1,97.093791,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-004454880.1,96.961689,Dasypus novemcinctus,5.5,Metatheria
XP+AF8-013824329.1,96.829593,Dipodomys ordii,0.0755,Euarchontoglires
XP+AF8-006881764.1,97.997332,Elephantulus edwardii,0.0695,zAfrotheria
XP+AF8-008254289.1,97.214854,Eptesicus fuscus,0.023,Laurasiatheria
XP+AF8-534397.5,93.625498,Equus caballus,563.5,Laurasiatheria
XP+AF8-008570030.1,96.666664,Equus przewalskii,250,Laurasiatheria
XP+AF8-007640018.1,99.207395,Erinaceus europaeus,0.6,Laurasiatheria
XP+AF8-003983653.3,97.184986,Felis catus,4.75,Laurasiatheria
XP+AF8-010853315.1,96.795726,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-008696501.1,96.301186,Galeopterus variegatus,1.45,Euarchontoglires
XP+AF8-014311974.1,96.433288,Heterocephalus glaber,0.055,Euarchontoglires
NP+AF8-065935.3,96.829593,Homo sapiens,68,Euarchontoglires
XP+AF8-005329955.1,97.754294,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-013369505.1,97.357994,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-006727585.1,95.727634,Leptonychotes weddellii,500,Laurasiatheria
XP+AF8-007522762.1,97.093791,Lipotes vexillifer,104.5,Laurasiatheria
XP+AF8-010809975.1,96.961689,Loxodonta africana,4800,zAfrotheria
XP+AF8-012389604.1,95.534503,Mandrillus leucophaeus,18.25,Euarchontoglires
XP+AF8-014335160.1,96.961689,Mesocricetus auratus,0.099,Euarchontoglires
XP+AF8-012866455.1,97.886395,Microcebus murinus,0.06,Euarchontoglires
XP+AF8-014417976.1,96.829593,Microtus ochrogaster,0.05,Euarchontoglires
NP+AF8-001078847.1,100,Mus musculus,0.017,Euarchontoglires
XP+AF8-015093353.1,97.225893,Myotis brandtii,0.0069,Laurasiatheria
XP+AF8-006764636.1,95.508587,Myotis davidii,0.0085,Laurasiatheria
XP+AF8-014955329.1,96.301186,Myotis lucifugus,0.008,Laurasiatheria
XP+AF8-008955466.1,96.829593,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-012521165.1,97.49009,Nomascus leucogenys,5.7,Euarchontoglires
XP+AF8-013005713.1,97.225893,Ochotona princeps,0.1485,Euarchontoglires
XP+AF8-012583679.1,97.826087,Octodon degus,0.235,Euarchontoglires
XP+AF8-012782627.1,97.480106,Odobenus rosmarus divergens,1050,Laurasiatheria
XP+AF8-012659597.1,97.225893,Orcinus orca,7200,Laurasiatheria
XP+AF8-008019811.1,96.829593,Orycteropus afer afer,61,zAfrotheria
XP+AF8-008522733.1,97.979796,Oryctolagus cuniculus,2,Euarchontoglires
XP+AF8-012922161.1,97.093791,Otolemur garnettii,0.1025,Euarchontoglires
XP+AF8-009231820.1,95.508587,Pan paniscus,44,Euarchontoglires
XP+AF8-010384827.1,97.093791,Pan troglodytes,48,Euarchontoglires
XP+AF8-005976913.1,96.961689,Pantholops hodgsonii,33,Laurasiatheria
XP+AF8-009435359.1,96.697491,Papio anubis,19.5,Euarchontoglires
XP+AF8-007115424.1,94.63768,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-007193439.1,95.634919,Physeter catodon,42500,Laurasiatheria
XP+AF8-010340976.1,97.093791,Pongo abelii,60,Euarchontoglires
XP+AF8-012789094.1,96.697491,Propithecus coquereli,0.305,Euarchontoglires
XP+AF8-006922115.1,96.831954,Pteropus alecto,0.74,Laurasiatheria
XP+AF8-011827803.1,96.961689,Pteropus vampyrus,0.85,Laurasiatheria
NP+AF8-001101264.2,99.471599,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-010638375.1,96.56539,Rhinopithecus roxellana,16.4,Euarchontoglires
XP+AF8-010590146.1,96.204382,Saimiri boliviensis boliviensis,0.75,Euarchontoglires
XP+AF8-013207535.1,94.708997,Sorex araneus,0.0095,Laurasiatheria
XP+AF8-014926943.1,97.093791,Sus scrofa,169,Laurasiatheria
XP+AF8-008147987.1,96.657753,Tarsius syrichta,0.1315,Euarchontoglires
XP+AF8-004370639.1,96.301186,Trichechus manatus latirostris,480,zAfrotheria
XP+AF8-006144105.1,97.225893,Tupaia chinensis,0.16,Euarchontoglires
XP+AF8-004323846.1,95.873451,Tursiops truncatus,400,Laurasiatheria
XP+AF8-008846094.1,97.886395,Ursus maritimus,475,Laurasiatheria
