tag,id,Species,Mass (kg),Clade
XP+AF8-019657291.1,97.193879,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-007166403.1,98.214287,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
XP+AF8-010841331.1,97.619045,Bison bison bison,600,Laurasiatheria
XP+AF8-005907614.1,97.271955,Bos mutus,562.5,Laurasiatheria
XP+AF8-015314156.1,97.704083,Bos taurus,455,Laurasiatheria
tr+AHw-U3EDP2+AHw-U3EDP2+AF8-CALJA,98.384356,Callithrix jacchus,0.33,Euarchontoglires
XP+AF8-010964267.1,98.212767,Camelus bactrianus,475,Laurasiatheria
XP+AF8-010990062.1,98.212767,Camelus dromedarius,495,Laurasiatheria
XP+AF8-006177003.2,98.212767,Camelus ferus,800,Laurasiatheria
XP+AF8-013969069.1,98.044217,Canis lupus familiaris,35.5,Laurasiatheria
XP+AF8-017920124.1,97.789115,Capra hircus,45,Laurasiatheria
XP+AF8-014645006.1,98.72449,Ceratotherium simum simum,2520,Laurasiatheria
XP+AF8-011906819.1,98.72449,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-013377551.1,98.809522,Chinchilla lanigera,0.65,Euarchontoglires
XP+AF8-008008490.1,98.639458,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-006863476.1,98.044217,Chrysochloris asiatica,0.042,zAfrotheria
XP+AF8-011814032.1,97.163123,Colobus angolensis palliatus,8.9,Euarchontoglires
XP+AF8-012581645.1,98.55442,Condylura cristata,0.055,Laurasiatheria
tr+AHw-G3GY44+AHw-G3GY44+AF8-CRIGR,99.574828,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-004473975.1,98.384356,Dasypus novemcinctus,5.5,Metatheria
XP+AF8-006900568.1,98.55442,Elephantulus edwardii,0.0695,zAfrotheria
XP+AF8-008151688.1,98.214287,Eptesicus fuscus,0.023,Laurasiatheria
XP+AF8-014584199.1,98.809522,Equus caballus,563.5,Laurasiatheria
XP+AF8-008530652.1,98.809522,Equus przewalskii,250,Laurasiatheria
XP+AF8-016043816.1,98.55442,Erinaceus europaeus,0.6,Laurasiatheria
XP+AF8-019672718.1,97.534013,Felis catus,4.75,Laurasiatheria
tr+AHw-A0A091D7Q4+AHw-A0A091D7Q4+AF8-FUKDA,98.299319,Fukomys damarensis,0.144,Euarchontoglires
sp+AHw-P35580+AHw-MYH10+AF8-HUMAN,98.469388,Homo sapiens,68,Euarchontoglires
