tag,id,Species,Mass (kg),Clade
tr+AHw-G1L2C8+AHw-G1L2C8+AF8-AILME,96.757233,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-012041121.1,96.830988,Aotus nancymaae,0.75,Euarchontoglires
XP+AF8-007175339.1,94.303244,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
XP+AF8-010841306.1,97.020155,Bison bison bison,600,Laurasiatheria
NP+AF8-001159699.1,96.932513,Bos taurus,455,Laurasiatheria
XP+AF8-006055109.1,97.283083,Bubalus bubalis,725,Laurasiatheria
tr+AHw-F7FKN4+AHw-F7FKN4+AF8-CALJA,95.793164,Callithrix jacchus,0.33,Euarchontoglires
NP+AF8-001070263.1,97.984225,Canis lupus familiaris,35.5,Laurasiatheria
XP+AF8-017715131.1,94.566172,Capra hircus,45,Laurasiatheria
XP+AF8-019268973.1,97.546011,Castor canadensis,22.5,Euarchontoglires
XP+AF8-003466268.1,98.685366,Cavia porcellus,0.9,Euarchontoglires
XP+AF8-015359971.1,99.035931,Cebus capucinus imitator,3.9,Euarchontoglires
XP+AF8-004433116.1,97.283083,Ceratotherium simum simum,2520,Laurasiatheria
XP+AF8-011906130.1,97.633654,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-008008558.1,97.195441,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-006863491.1,97.283083,Chrysochloris asiatica,0.042,zAfrotheria
XP+AF8-011788650.1,97.458369,Colobus angolensis palliatus,8.9,Euarchontoglires
XP+AF8-003497542.1,99.64602,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-024206251.1,97.107798,Desmodus rotundus,0.033,Laurasiatheria
XP+AF8-012633184.1,97.633654,Dipodomys ordii,0.0755,Euarchontoglires
XP+AF8-006898641.1,98.122531,Elephantulus edwardii,0.0695,zAfrotheria
XP+AF8-012868618.1,99.298859,Equus asinus,250,Laurasiatheria
NP+AF8-001075229.1,97.458369,Equus caballus,563.5,Laurasiatheria
tr+AHw-M3WDH9+AHw-M3WDH9+AF8-FELCA,92.725676,Felis catus,4.75,Laurasiatheria
XP+AF8-010613293.1,99.298859,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-008591290.1,97.370726,Galeopterus variegatus,1.45,Euarchontoglires
XP+AF8-017920148.1,97.107798,Gorilla gorilla gorilla,140,Euarchontoglires
tr+AHw-G5B5I4+AHw-G5B5I4+AF8-HETGA,98.334795,Heterocephalus glaber,0.055,Euarchontoglires
NP+AF8-060004.3,97.370726,Homo sapiens,68,Euarchontoglires
tr+AHw-I3MBW9+AHw-I3MBW9+AF8-ICTTR,98.961937,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-004663185.1,99.298859,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-007457907.1,94.653815,Lipotes vexillifer,104.5,Laurasiatheria
tr+AHw-G3TF55+AHw-G3TF55+AF8-LOXAF,93.16389,Loxodonta africana,4800,zAfrotheria
XP+AF8-005582953.1,97.721297,Macaca fascicularis,6.55,Euarchontoglires
NP+AF8-001182221.1,97.721297,Macaca mulatta,8,Euarchontoglires
XP+AF8-011725698.1,97.808939,Macaca nemestrina,6.55,Euarchontoglires
XP+AF8-011828557.1,97.546011,Mandrillus leucophaeus,18.25,Euarchontoglires
XP+AF8-017386913.1,97.546011,Manis javanica,4.9,Laurasiatheria
XP+AF8-014719634.1,97.458369,Marmota marmota marmota,3.5,Euarchontoglires
XP+AF8-012308494.1,97.633654,Microcebus murinus,0.06,Euarchontoglires
XP+AF8-005349903.1,99.386501,Microtus ochrogaster,0.05,Euarchontoglires
XP+AF8-001371604.1,96.66959,Monodelphis domestica,0.048,Metatheria
NP+AF8-001034634.2,100,Mus musculus,0.017,Euarchontoglires
tr+AHw-M3XX97+AHw-M3XX97+AF8-MUSPF,93.634498,Mustela putorius furo,1.5,Laurasiatheria
tr+AHw-G1PUN7+AHw-G1PUN7+AF8-MYOLU,96.143734,Myotis lucifugus,0.008,Laurasiatheria
XP+AF8-026246333.1,99.211216,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-020744190.1,97.195441,Neomonachus schauinslandi,220,Laurasiatheria
XP+AF8-003274730.1,97.458369,Nomascus leucogenys,5.7,Euarchontoglires
XP+AF8-004645226.1,98.773009,Octodon degus,0.235,Euarchontoglires
XP+AF8-004398482.1,96.932513,Odobenus rosmarus divergens,1050,Laurasiatheria
XP+AF8-020023063.1,98.422438,Odocoileus virginianus texanus,47.6,Laurasiatheria
XP+AF8-004266886.1,95.442593,Orcinus orca,7200,Laurasiatheria
XP+AF8-007946232.1,97.020155,Orycteropus afer afer,61,zAfrotheria
tr+AHw-G1SJQ4+AHw-G1SJQ4+AF8-RABIT,98.948294,Oryctolagus cuniculus,2,Euarchontoglires
tr+AHw-H0WU25+AHw-H0WU25+AF8-OTOGA,78.090906,Otolemur garnettii,0.1025,Euarchontoglires
XP+AF8-011906138.1,97.633654,Ovis aries,110,Laurasiatheria
XP+AF8-003818148.1,97.195441,Pan paniscus,44,Euarchontoglires
XP+AF8-023046621.2,97.633654,Pan troglodytes,48,Euarchontoglires
XP+AF8-018868902.1,97.195441,Panthera pardus,41,Laurasiatheria
XP+AF8-007086012.1,94.727594,Panthera tigris altaica,176.4,Laurasiatheria
XP+AF8-005959865.1,96.722764,Pantholops hodgsonii,33,Laurasiatheria
tr+AHw-A0A096P2X5+AHw-A0A096P2X5+AF8-PAPAN,94.344956,Papio anubis,19.5,Euarchontoglires
XP+AF8-006973572.1,99.649429,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-007122312.1,91.936898,Physeter catodon,42500,Laurasiatheria
XP+AF8-021550542.1,96.581948,Piliocolobus tephrosceles,8.8,Euarchontoglires
XP+AF8-003778788.1,97.283083,Pongo abelii,60,Euarchontoglires
XP+AF8-006922497.1,96.754384,Pteropus alecto,0.74,Laurasiatheria
NP+AF8-001128629.1,99.561787,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-017522864.1,97.283083,Rhinopithecus bieti,10,Euarchontoglires
XP+AF8-010377892.1,97.458369,Rhinopithecus roxellana,16.4,Euarchontoglires
XP+AF8-003929292.1,97.546011,Saimiri boliviensis boliviensis,0.75,Euarchontoglires
XP+AF8-004603955.1,98.333335,Sorex araneus,0.0095,Laurasiatheria
NP+AF8-999301.1,96.932513,Sus scrofa,169,Laurasiatheria
XP+AF8-008048953.1,98.071867,Tarsius syrichta,0.1315,Euarchontoglires
XP+AF8-024420960.1,97.721297,Theropithecus gelada,16,Euarchontoglires
