tag,id,Species,Mass (kg),Clade
XP+AF8-005882280.1,95.375001,Myotis brandtii,0.0069,Laurasiatheria
XP+AF8-004609521.1,95.999998,Sorex araneus,0.0095,Laurasiatheria
XP+AF8-016061324.1,97.624999,Miniopterus natalensis,0.01,Laurasiatheria
XP+AF8-021037156.1,99.874997,Mus caroli,0.011,Euarchontoglires
sp+AHw-Q02566+AHw-MYH6+AF8-MOUSE,100,Mus musculus,0.017,Euarchontoglires
XP+AF8-015862441.1,99.624997,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-007609273.1,99.374217,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-008156717.1,95.999998,Eptesicus fuscus,0.023,Euarchontoglires
XP+AF8-024412540.1,96.125001,Desmodus rotundus,0.033,Euarchontoglires
XP+AF8-007479898.1,96.745932,Monodelphis domestica,0.048,Laurasiatheria
XP+AF8-015976036.1,97.874999,Rousettus aegyptiacus,0.125,Metatheria
XP+AF8-008065969.1,96.625,Tarsius syrichta,0.1315,Laurasiatheria
XP+AF8-010636061.1,96.749997,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-006144588.1,98.250002,Tupaia chinensis,0.16,Euarchontoglires
XP+AF8-004646741.1,97.125,Octodon degus,0.235,Euarchontoglires
sp+AHw-P02563+AHw-MYH6+AF8-RAT,98.873591,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-002807255.1,97.000003,Callithrix jacchus,0.33,Euarchontoglires
XP+AF8-008838093.1,98.624998,Nannospalax galili,0.375,Laurasiatheria
XP+AF8-004661858.1,97.750002,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-005377131.1,96.625,Chinchilla lanigera,0.65,Euarchontoglires
XP+AF8-006913645.1,97.500002,Pteropus alecto,0.74,Euarchontoglires
XP+AF8-012322596.2,96.875,Aotus nancymaae,0.75,Laurasiatheria
XP+AF8-026261846.1,97.000003,Urocitellus parryii,0.791,Euarchontoglires
XP+AF8-011371125.1,97.624999,Pteropus vampyrus,0.85,Euarchontoglires
XP+AF8-003474534.1,97.000003,Cavia porcellus,0.9,Laurasiatheria
XP+AF8-008564809.1,95.244056,Galeopterus variegatus,1.45,Euarchontoglires
XP+AF8-017203695.1,94.367957,Oryctolagus cuniculus,2,Euarchontoglires
XP+AF8-011281658.1,97.375,Felis catus,4.75,Euarchontoglires
XP+AF8-007989070.1,96.749997,Chlorocebus sabaeus,5,Laurasiatheria
XP+AF8-015309076.1,96.749997,Macaca fascicularis,6.55,Euarchontoglires
XP+AF8-011770590.1,96.749997,Macaca nemestrina,6.55,Euarchontoglires
XP+AF8-014998893.1,96.749997,Macaca mulatta,8,Euarchontoglires
XP+AF8-026302734.1,92.991239,Piliocolobus tephrosceles,8.8,Laurasiatheria
XP+AF8-011786219.1,96.875,Colobus angolensis palliatus,8.9,Laurasiatheria
XP+AF8-011943856.1,96.625,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-025863328.1,97.125,Vulpes vulpes,14,Euarchontoglires
XP+AF8-020821435.1,95.369214,Phascolarctos cinereus,15,Laurasiatheria
XP+AF8-025246936.1,96.749997,Theropithecus gelada,16,Metatheria
XP+AF8-010376719.1,96.749997,Rhinopithecus roxellana,16.4,Euarchontoglires
XP+AF8-011846084.1,96.499997,Mandrillus leucophaeus,18.25,Euarchontoglires
XP+AF8-009209486.1,96.625,Papio anubis,19.5,Euarchontoglires
XP+AF8-025298458.1,97.125,Canis lupus dingo,20,Euarchontoglires
XP+AF8-020037196.1,97.000003,Castor canadensis,22.5,Laurasiatheria
XP+AF8-019284942.1,97.125,Panthera pardus,41,Euarchontoglires
XP+AF8-003808133.1,96.749997,Pan paniscus,44,Laurasiatheria
XP+AF8-017910094.1,96.375,Capra hircus,45,Euarchontoglires
XP+AF8-020765589.1,95.249999,Odocoileus virginianus texanus,47.6,Laurasiatheria
XP+AF8-016781378.2,96.749997,Pan troglodytes,48,Laurasiatheria
XP+AF8-024087214.1,96.375,Pongo abelii,60,Euarchontoglires
XP+AF8-007949394.1,96.875,Orycteropus afer afer,61,Euarchontoglires
sp+AHw-P13533+AHw-MYH6+AF8-HUMAN,96.499997,Homo sapiens,68,zAfrotheria
XP+AF8-007449625.1,96.125001,Lipotes vexillifer,104.5,Euarchontoglires
XP+AF8-014961896.1,96.249998,Ovis aries,110,Laurasiatheria
XP+AF8-018865224.1,96.625,Gorilla gorilla gorilla,140,Laurasiatheria
XP+AF8-020954893.1,96.749997,Sus scrofa,169,Euarchontoglires
XP+AF8-021550983.1,94.868588,Neomonachus schauinslandi,220,Laurasiatheria
XP+AF8-014711768.1,95.125002,Equus asinus,250,Laurasiatheria
XP+AF8-026342257.1,95.499998,Ursus arctos horribilis,270,Laurasiatheria
XP+AF8-004320251.1,95.499998,Tursiops truncatus,400,Laurasiatheria
XP+AF8-010953032.1,94.656491,Camelus bactrianus,475,Laurasiatheria
XP+AF8-025151888.1,95.999998,Bubalus bubalis,725,Laurasiatheria
XP+AF8-024853710.1,95.999998,Canis lupus dingo,755,Laurasiatheria
XP+AF8-007180901.1,95.938373,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
XP+AF8-023989424.1,96.125001,Physeter catodon,42500,Laurasiatheria
XP+AF8-021058901.1,99.624997,Mus pahari,,Laurasiatheria
