tag,id,Species,Mass (kg),Clade
XP+AF8-012633298.1,89.445913,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-010964315.1,90.765172,Bison bison bison,600,Laurasiatheria
XP+AF8-014405341.1,93.491644,Bos mutus,562.5,Laurasiatheria
XP+AF8-011225746.1,90.589273,Camelus bactrianus,475,Laurasiatheria
tr+AHw-S9XET7+AHw-S9XET7+AF8-CAMFR,93.491644,Camelus ferus,800,Laurasiatheria
XP+AF8-003639083.2,92.700088,Canis lupus familiaris,35.5,Laurasiatheria
XP+AF8-005693630.1,94.1073,Capra hircus,45,Laurasiatheria
XP+AF8-003466265.1,92.788041,Cavia porcellus,0.9,Euarchontoglires
XP+AF8-014719641.1,93.843448,Ceratotherium simum simum,2520,Laurasiatheria
XP+AF8-013836779.1,93.051893,Chinchilla lanigera,0.65,Euarchontoglires
XP+AF8-008048945.1,95.602465,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-006863569.1,93.051893,Chrysochloris asiatica,0.042,zAfrotheria
XP+AF8-004685141.1,93.667549,Condylura cristata,0.055,Laurasiatheria
XP+AF8-008008552.1,94.722956,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-004483206.1,84.355557,Dasypus novemcinctus,5.5,Metatheria
XP+AF8-013377566.1,94.722956,Dipodomys ordii,0.0755,Euarchontoglires
XP+AF8-006898639.1,96.042216,Elephantulus edwardii,0.0695,zAfrotheria
XP+AF8-008526972.1,93.579596,Eptesicus fuscus,0.023,Laurasiatheria
XP+AF8-014974083.1,94.810903,Equus asinus,250,Laurasiatheria
XP+AF8-005597841.1,93.491644,Equus caballus,563.5,Laurasiatheria
XP+AF8-008571174.1,90.976745,Equus przewalskii,250,Laurasiatheria
XP+AF8-017827179.1,95.074761,Erinaceus europaeus,0.6,Laurasiatheria
XP+AF8-006939854.1,93.051893,Felis catus,4.75,Laurasiatheria
XP+AF8-010841493.1,93.315744,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-008686234.1,92.084432,Galeopterus variegatus,1.45,Euarchontoglires
XP+AF8-004058631.1,94.722956,Gorilla gorilla gorilla,140,Euarchontoglires
XP+AF8-004857587.1,92.700088,Heterocephalus glaber,0.055,Euarchontoglires
NP+AF8-003793.2,94.635004,Homo sapiens,68,Euarchontoglires
XP+AF8-005332932.1,96.833771,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-004663189.1,96.39402,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-006744847.1,90.211642,Lipotes vexillifer,104.5,Laurasiatheria
XP+AF8-003416837.1,90.325415,Loxodonta africana,4800,zAfrotheria
XP+AF8-015360011.1,96.39402,Macaca fascicularis,6.55,Euarchontoglires
XP+AF8-015293130.1,94.898856,Macaca mulatta,8,Euarchontoglires
XP+AF8-015394673.1,92.084432,Marmota marmota marmota,3.5,Euarchontoglires
XP+AF8-005067661.1,97.977132,Mesocricetus auratus,0.099,Euarchontoglires
XP+AF8-012661392.1,95.162708,Microcebus murinus,0.06,Euarchontoglires
XP+AF8-005349898.1,98.504835,Microtus ochrogaster,0.05,Euarchontoglires
XP+AF8-007633776.1,98.328936,Monodelphis domestica,0.048,Metatheria
NP+AF8-001074719.1,100,Mus musculus,0.017,Euarchontoglires
XP+AF8-004760224.1,88.918203,Mustela putorius furo,1.5,Laurasiatheria
XP+AF8-014446356.1,95.954263,Myotis brandtii,0.0069,Laurasiatheria
XP+AF8-008969587.2,94.635004,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-003274728.1,93.051893,Nomascus leucogenys,5.7,Euarchontoglires
XP+AF8-012868613.1,96.56992,Ochotona princeps,0.1485,Euarchontoglires
XP+AF8-004398675.1,88.800704,Odobenus rosmarus divergens,1050,Laurasiatheria
NP+AF8-001156538.1,94.898856,Oryctolagus cuniculus,2,Euarchontoglires
XP+AF8-012785154.1,94.195253,Otolemur garnettii,0.1025,Euarchontoglires
XP+AF8-009187939.2,94.986808,Pan paniscus,44,Euarchontoglires
XP+AF8-010377896.1,95.25066,Pan troglodytes,48,Euarchontoglires
XP+AF8-016042784.1,91.82058,Panthera tigris altaica,176.4,Laurasiatheria
XP+AF8-009431024.1,94.635004,Papio anubis,19.5,Euarchontoglires
XP+AF8-006973570.1,98.240983,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-006922453.1,94.459105,Pteropus alecto,0.74,Laurasiatheria
XP+AF8-010613330.1,92.524189,Rhinopithecus roxellana,16.4,Euarchontoglires
XP+AF8-003759385.1,84.432715,Sarcophilus harrisii,8,Metatheria
XP+AF8-014337467.1,92.971528,Sus scrofa,169,Laurasiatheria
XP+AF8-008151808.1,93.667549,Tarsius syrichta,0.1315,Euarchontoglires
XP+AF8-014644987.1,90.336877,Tupaia chinensis,0.16,Euarchontoglires
XP+AF8-008853944.1,96.833771,Ursus maritimus,475,Laurasiatheria
