tag,id,Species,Mass (kg),Clade
tr+AHw-G1L2C8+AHw-G1L2C8+AF8-AILME,94.756556,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-012041121.1,95.226133,Aotus nancymaae,0.75,Euarchontoglires
XP+AF8-007175339.1,94.110274,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
XP+AF8-010841306.1,94.117647,Bison bison bison,600,Laurasiatheria
NP+AF8-001159699.1,94.117647,Bos taurus,755,Euarchontoglires
XP+AF8-006055109.1,94.479299,Bubalus bubalis,725,Laurasiatheria
tr+AHw-F7FKN4+AHw-F7FKN4+AF8-CALJA,93.116397,Callithrix jacchus,0.33,Laurasiatheria
NP+AF8-001070263.1,96.996248,Canis lupus familiaris,35.5,Laurasiatheria
XP+AF8-017715131.1,96.115291,Capra hircus,45,Laurasiatheria
XP+AF8-019268973.1,96.86324,Castor canadensis,22.5,Euarchontoglires
XP+AF8-003466268.1,96.375,Cavia porcellus,0.9,Euarchontoglires
XP+AF8-015359971.1,97.997499,Cebus capucinus imitator,3.9,Euarchontoglires
XP+AF8-004433116.1,95.471698,Ceratotherium simum simum,2520,Laurasiatheria
XP+AF8-011906130.1,95.989972,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-008008558.1,96.365917,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-006863491.1,96.745932,Chrysochloris asiatica,0.042,zAfrotheria
XP+AF8-011788650.1,96.486825,Colobus angolensis palliatus,8.9,Euarchontoglires
XP+AF8-003497542.1,98.626715,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-024206251.1,95.375001,Desmodus rotundus,0.033,Laurasiatheria
XP+AF8-012633184.1,96.616542,Dipodomys ordii,0.0755,Euarchontoglires
XP+AF8-006898641.1,98.127341,Elephantulus edwardii,0.0695,zAfrotheria
XP+AF8-012868618.1,99.250001,Equus asinus,250,Laurasiatheria
NP+AF8-001075229.1,95.979899,Equus caballus,563.5,Laurasiatheria
