tag,id,Species,Mass (kg),Clade
XP+AF8-002921230.1,95.375001,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-006055111.1,94.493115,Bubalus bubalis,725,Laurasiatheria
XP+AF8-002747956.1,95.499998,Callithrix jacchus,0.33,Euarchontoglires
NP+AF8-001070262.1,95.999998,Canis lupus familiaris,35.5,Laurasiatheria
XP+AF8-013004164.1,96.749997,Cavia porcellus,0.9,Euarchontoglires
XP+AF8-011906176.1,95.625001,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-005399422.1,96.365917,Chinchilla lanigera,0.65,Euarchontoglires
XP+AF8-008008561.1,95.999998,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-011788644.1,95.749998,Colobus angolensis palliatus,8.9,Euarchontoglires
XP+AF8-007611197.1,98.374999,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-012376888.1,95.488721,Dasypus novemcinctus,5.5,Metatheria
XP+AF8-012868617.1,98.874998,Dipodomys ordii,0.0755,Euarchontoglires
XP+AF8-007522756.1,96.875,Erinaceus europaeus,0.6,Laurasiatheria
XP+AF8-003996261.1,95.749998,Felis catus,4.75,Laurasiatheria
XP+AF8-010613286.1,97.125,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-008571171.1,96.625,Galeopterus variegatus,1.45,Euarchontoglires
XP+AF8-004058634.1,95.375001,Gorilla gorilla gorilla,140,Euarchontoglires
tr+AHw-G5B5I2+AHw-G5B5I2+AF8-HETGA,97.125,Heterocephalus glaber,0.055,Euarchontoglires
sp+AHw-Q9Y623+AHw-MYH4+AF8-HUMAN,95.499998,Homo sapiens,68,Euarchontoglires
XP+AF8-005332934.1,96.749997,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-004663188.1,98.250002,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-010594915.1,95.125002,Loxodonta africana,4800,zAfrotheria
XP+AF8-005582956.1,95.875001,Macaca fascicularis,6.55,Euarchontoglires
XP+AF8-001113779.2,95.749998,Macaca mulatta,8,Euarchontoglires
XP+AF8-011725694.1,95.625001,Macaca nemestrina,6.55,Euarchontoglires
XP+AF8-011828561.1,95.375001,Mandrillus leucophaeus,18.25,Euarchontoglires
XP+AF8-012633169.1,95.749998,Microcebus murinus,0.06,Euarchontoglires
XP+AF8-005349900.1,98.874998,Microtus ochrogaster,0.05,Euarchontoglires
XP+AF8-001371531.1,96.245307,Monodelphis domestica,0.048,Metatheria
NP+AF8-034985.2,100,Mus musculus,0.017,Euarchontoglires
XP+AF8-006761788.1,94.499999,Myotis davidii,0.0085,Laurasiatheria
XP+AF8-006099790.1,94.749999,Myotis lucifugus,0.008,Laurasiatheria
XP+AF8-008853934.1,98.124999,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-012356894.1,96.125001,Nomascus leucogenys,5.7,Euarchontoglires
XP+AF8-012785169.1,96.375,Ochotona princeps,0.1485,Euarchontoglires
XP+AF8-004645224.1,98.124999,Octodon degus,0.235,Euarchontoglires
XP+AF8-004398483.1,95.249999,Odobenus rosmarus divergens,1050,Laurasiatheria
NP+AF8-001103286.1,93.366706,Oryctolagus cuniculus,2,Euarchontoglires
XP+AF8-008969593.1,95.499998,Pan paniscus,44,Euarchontoglires
XP+AF8-009431025.1,95.499998,Pan troglodytes,48,Euarchontoglires
XP+AF8-007086010.1,95.499998,Panthera tigris altaica,176.4,Laurasiatheria
XP+AF8-003912396.1,95.625001,Papio anubis,19.5,Euarchontoglires
XP+AF8-006973575.1,99.000001,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
tr+AHw-L5JWS1+AHw-L5JWS1+AF8-PTEAL,95.875001,Pteropus alecto,0.74,Laurasiatheria
XP+AF8-011357261.1,95.999998,Pteropus vampyrus,0.85,Laurasiatheria
sp+AHw-Q29RW1+AHw-MYH4+AF8-RAT,99.250001,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-010377894.1,95.749998,Rhinopithecus roxellana,16.4,Euarchontoglires
XP+AF8-003929293.1,95.249999,Saimiri boliviensis boliviensis,0.75,Euarchontoglires
XP+AF8-004603963.1,97.250003,Sorex araneus,0.0095,Laurasiatheria
NP+AF8-001116613.1,93.107772,Sus scrofa,169,Laurasiatheria
XP+AF8-008048948.1,94.98747,Tarsius syrichta,0.1315,Euarchontoglires
XP+AF8-004376035.1,96.125001,Trichechus manatus latirostris,480,zAfrotheria
XP+AF8-006156477.1,97.250003,Tupaia chinensis,0.16,Euarchontoglires
