tag,id,Species,Mass (kg),Clade
A0A1A6HX72,97.1,Neotoma lepida ,0.14,Euarchontoglires
A0A1S3G524,96.34,Dipodomys ordii ,0.0755,Euarchontoglires
A0A1S3WLM3,95.36,Erinaceus europaeus ,0.6,Laurasiatheria
A0A2I2UFS4,96.31,Felis catus ,4.75,Laurasiatheria
A0A2I3H5Z6,94.42,Nomascus leucogenys ,5.7,Euarchontoglires
A0A2I3MD59,96.46,Papio anubis ,19.5,Euarchontoglires
A0A2J8J168,96.81,Pan troglodytes ,48,Euarchontoglires
A0A2J8U8T0,96.71,Pongo abelii ,60,Euarchontoglires
A0A2K5HX31,93.48,Colobus angolensis palliatus ,8.9,Euarchontoglires
A0A2K5VX94,96.59,Macaca fascicularis ,6.55,Euarchontoglires
A0A2K5YCX8,89.47,Mandrillus leucophaeus ,18.25,Euarchontoglires
A0A2K6C9Z2,91.61,Macaca nemestrina ,6.55,Euarchontoglires
A0A2K6LA72,95.28,Rhinopithecus bieti ,10,Euarchontoglires
A0A2K6Q5L3,96.34,Rhinopithecus roxellana ,16.4,Euarchontoglires
A0A2R9A942,94.18,Pan paniscus ,44,Euarchontoglires
A0A2Y9DV83,95.61,Trichechus manatus latirostris ,480,zAfrotheria
A0A2Y9GDE9,95.36,Neomonachus schauinslandi ,220,Laurasiatheria
A0A2Y9PF08,96.1,Delphinapterus leucas ,1400,Laurasiatheria
A0A2Y9TF26,96.34,Physeter macrocephalus ,42500,Laurasiatheria
A0A340XVX0,97.1,Lipotes vexillifer ,104.5,Laurasiatheria
A0A341DBF7,96.1,Neophocaena asiaeorientalis asiaeorientalis ,32,Laurasiatheria
A0A3Q0DF64,97.2,Mesocricetus auratus ,0.099,Euarchontoglires
A0A3Q7W1N6,95.73,Ursus arctos horribilis ,270,Laurasiatheria
A0A452FDI1,96.07,Capra hircus ,45,Euarchontoglires
A0A452RWM8,92.58,Ursus americanus ,300,Laurasiatheria
A0A4U1FTS3,98.02,Monodon monoceros ,940,Laurasiatheria
A0A4W2CNE0,96.07,Bos taurus indicus,800,Laurasiatheria
A0A4X1VWS0,96.19,Sus scrofa ,169,Laurasiatheria
A0A5E4BWR8,96.93,Marmota monax ,3.9,Euarchontoglires
A0A5F4BZ15,95.24,Canis lupus familiaris ,35.5,Laurasiatheria
A0A5N4DUQ2,96.68,Camelus dromedarius ,495,Laurasiatheria
A0A667HFT2,96.43,Lynx canadensis ,11,Laurasiatheria
A0A671E954,96.64,Rhinolophus ferrumequinum ,0.023,Laurasiatheria
A0A6B0RSM7,96.07,Bos mutus ,562.5,Laurasiatheria
A0A6I9M232,98.3,Peromyscus maniculatus bairdii ,0.017,Euarchontoglires
A0A6J0AMJ8,97.93,Vicugna pacos ,60,Laurasiatheria
A0A6J2EVJ3,95.36,Zalophus californianus ,350,Laurasiatheria
A0A6J3QGV3,96.46,Tursiops truncatus ,400,Laurasiatheria
F1LNF0,99.03,Rattus norvegicus ,0.325,Euarchontoglires
F7BV56,96.06,Equus caballus ,563.5,Laurasiatheria
G1M4F8,94.29,Ailuropoda melanoleuca ,102.5,Laurasiatheria
G3I729,98.18,Cricetulus griseus ,0.0224,Euarchontoglires
G3UN90,95.97,Loxodonta africana ,4800,zAfrotheria
H0UY16,95.49,Cavia porcellus ,0.9,Euarchontoglires
H0WM04,96.59,Otolemur garnettii ,0.1025,Euarchontoglires
K9IPE8,96.1,Desmodus rotundus ,0.033,Euarchontoglires
L9J9W2,96.68,Tupaia chinensis ,0.16,Euarchontoglires
M3XSD4,90.38,Mustela putorius furo ,1.5,Laurasiatheria
Q6URW6,100,Mus musculus ,0.017,Euarchontoglires
Q7Z406,96.81,Homo sapiens ,68,Euarchontoglires
U3EZ92,96.59,Callithrix jacchus ,0.33,Euarchontoglires
W5PWH2,95.5,Ovis aries ,110,Laurasiatheria
