tag,id,Species,Mass (kg),Clade
XP+AF8-011217103.1,94.74138,Ailuropoda melanoleuca,102.5,Laurasiatheria
XP+AF8-012331782.1,95.603448,Aotus nancymaae,0.75,Euarchontoglires
XP+AF8-007165739.1,94.396549,Balaenoptera acutorostrata scammoni,9200,Laurasiatheria
NP+AF8-001179691.1,93.706894,Bos taurus,455,Laurasiatheria
XP+AF8-006057029.1,93.965518,Bubalus bubalis,725,Laurasiatheria
XP+AF8-009008395.1,95.258623,Callithrix jacchus,0.33,Euarchontoglires
XP+AF8-010958676.1,94.999999,Camelus bactrianus,475,Laurasiatheria
XP+AF8-010997289.1,94.913793,Camelus dromedarius,495,Laurasiatheria
XP+AF8-006194713.1,94.999999,Camelus ferus,800,Laurasiatheria
NP+AF8-001104237.1,95.258623,Canis lupus familiaris,35.5,Laurasiatheria
XP+AF8-005680817.1,92.100692,Capra hircus,45,Laurasiatheria
XP+AF8-003470507.1,95.689654,Cavia porcellus,0.9,Euarchontoglires
XP+AF8-004418151.1,95.258623,Ceratotherium simum simum,2520,Laurasiatheria
XP+AF8-011893491.1,95.34483,Cercocebus atys,9.5,Euarchontoglires
XP+AF8-013366946.1,95.862067,Chinchilla lanigera,0.65,Euarchontoglires
XP+AF8-007973837.1,95.258623,Chlorocebus sabaeus,5,Euarchontoglires
XP+AF8-006865288.1,95.258623,Chrysochloris asiatica,0.042,zAfrotheria
XP+AF8-011819709.1,95.517242,Colobus angolensis palliatus,8.9,Euarchontoglires
XP+AF8-007622799.1,97.500002,Cricetulus griseus,0.0224,Euarchontoglires
XP+AF8-012880308.1,95.431036,Dipodomys ordii,0.0755,Euarchontoglires
XP+AF8-006890222.1,95.689654,Elephantulus edwardii,0.0695,zAfrotheria
XP+AF8-008142904.1,95.086205,Eptesicus fuscus,0.023,Laurasiatheria
XP+AF8-007519425.1,94.482756,Erinaceus europaeus,0.6,Laurasiatheria
XP+AF8-010612194.1,95.603448,Fukomys damarensis,0.144,Euarchontoglires
XP+AF8-008585579.1,95.517242,Galeopterus variegatus,1.45,Euarchontoglires
NP+AF8-002464.1,95.603448,Homo sapiens,68,Euarchontoglires
XP+AF8-005322354.1,95.689654,Ictidomys tridecemlineatus,0.125,Euarchontoglires
XP+AF8-004650327.1,94.74138,Jaculus jaculus,0.6,Euarchontoglires
XP+AF8-007446800.1,93.448275,Lipotes vexillifer,104.5,Laurasiatheria
XP+AF8-010597690.1,92.068964,Loxodonta africana,4800,zAfrotheria
XP+AF8-005567470.1,95.431036,Macaca fascicularis,6.55,Euarchontoglires
XP+AF8-011710795.1,95.431036,Macaca nemestrina,6.55,Euarchontoglires
XP+AF8-011834336.1,95.34483,Mandrillus leucophaeus,18.25,Euarchontoglires
XP+AF8-012642489.1,94.999999,Microcebus murinus,0.06,Euarchontoglires
XP+AF8-013204243.1,97.844827,Microtus ochrogaster,0.05,Euarchontoglires
NP+AF8-071855.2,100,Mus musculus,0.017,Euarchontoglires
XP+AF8-005883308.1,94.913793,Myotis brandtii,0.0069,Laurasiatheria
XP+AF8-006757501.1,94.74138,Myotis davidii,0.0085,Laurasiatheria
XP+AF8-008853014.1,96.034485,Nannospalax galili,0.375,Euarchontoglires
XP+AF8-004589604.1,95.086205,Ochotona princeps,0.1485,Euarchontoglires
XP+AF8-004634632.1,95.862067,Octodon degus,0.235,Euarchontoglires
XP+AF8-004417395.1,94.655174,Odobenus rosmarus divergens,1050,Laurasiatheria
XP+AF8-004279478.1,94.396549,Orcinus orca,7200,Laurasiatheria
XP+AF8-003430622.1,92.500001,Ornithorhynchus anatinus,1.65,Metatheria
XP+AF8-007952162.1,95.603448,Orycteropus afer afer,61,zAfrotheria
XP+AF8-008255309.1,94.655174,Oryctolagus cuniculus,2,Euarchontoglires
XP+AF8-012656616.1,95.172411,Otolemur garnettii,0.1025,Euarchontoglires
XP+AF8-012004193.1,94.137931,Ovis aries,110,Laurasiatheria
XP+AF8-008973255.1,95.517242,Pan paniscus,44,Euarchontoglires
XP+AF8-009215489.1,95.431036,Papio anubis,19.5,Euarchontoglires
XP+AF8-006991969.1,98.36207,Peromyscus maniculatus bairdii,0.017,Euarchontoglires
XP+AF8-009232594.1,95.34483,Pongo abelii,60,Euarchontoglires
XP+AF8-012493546.1,95.431036,Propithecus coquereli,0.305,Euarchontoglires
XP+AF8-006914548.1,94.999999,Pteropus alecto,0.74,Laurasiatheria
XP+AF8-011385610.1,94.827586,Pteropus vampyrus,0.85,Laurasiatheria
NP+AF8-001292806.1,99.396551,Rattus norvegicus,0.325,Euarchontoglires
XP+AF8-010387470.1,95.431036,Rhinopithecus roxellana,16.4,Euarchontoglires
XP+AF8-010341809.1,95.172411,Saimiri boliviensis boliviensis,0.75,Euarchontoglires
XP+AF8-006207100.1,94.999999,Vicugna pacos,60,Laurasiatheria
